_step,loss,_timestamp,l2_error,step,_runtime,loss_boundary,loss_interior,time
0,48.68663758935562,1714842982.5890343,0.4006254874906617,0,5.442772388458252,0.012968366003896538,48.67366922335172,1.4450509548187256
1,48.68647913361667,1714842982.6506686,0.4992619720116068,1,5.504406690597534,0.01296861219356578,48.673510521423104,1.7608497142791748
2,11.785052057652756,1714842982.69141,0.3364473550359951,2,5.545148134231567,0.13317154210089552,11.651880515551861,1.8053698539733887
3,9.250146937401595,1714842982.730754,2.124602301257152,3,5.584491968154907,0.08256393702949814,9.167583000372098,1.8448519706726074
4,10.730016669227041,1714842982.769821,1.4106971369267867,4,5.62355899810791,2.756640767811883,7.9733759014151575,1.8839311599731445
5,3.131604551208184,1714842982.8083677,0.9222378907831,5,5.6621057987213135,1.1279907983197575,2.0036137528884264,1.9225244522094727
6,1.8224620343391291,1714842982.847331,0.2874037341647073,6,5.701069116592407,0.4530551902183158,1.3694068441208134,1.9618585109710693
7,0.9382058216648587,1714842982.8877144,0.18907866505196572,7,5.74145245552063,0.07603067770872333,0.8621751439561354,2.0017716884613037
8,0.7636049292349391,1714842982.9262216,0.3501981650545616,8,5.779959678649902,0.046313376240219736,0.7172915529947194,2.040648937225342
9,0.7147149414289817,1714842982.96517,0.2249917187324119,9,5.818907976150513,0.15871921020080512,0.5559957312281766,2.077915906906128
10,0.5070102229264383,1714842983.0032725,0.1740798103830582,10,5.85701060295105,0.06518295506418331,0.44182726786225496,2.1180386543273926
11,0.4323542564679532,1714842983.0400615,0.14889183484872043,11,5.893799543380737,0.0446070348788625,0.3877472215890907,2.154175281524658
12,0.39576162063110215,1714842983.079148,0.16235876338570587,12,5.932886123657227,0.04018658085194494,0.3555750397791572,2.1932928562164307
13,0.37379115949852754,1714842983.1183498,0.14842712224196447,13,5.972087860107422,0.03809049273583191,0.3357006667626956,2.2323033809661865
14,0.35899430055525394,1714842983.1588323,0.12483149936934884,14,6.012570381164551,0.03409053609542066,0.32490376445983327,2.272940158843994
15,0.35200326058824966,1714842983.200054,0.14297106605044574,15,6.0537919998168945,0.030727314298182377,0.3212759462900673,2.3142478466033936
16,0.34370468156280215,1714842983.2399788,0.15364794084332972,16,6.093716859817505,0.03242380955874541,0.31128087200405674,2.354224920272827
17,0.33018826576500254,1714842983.279351,0.13164463772766516,17,6.133089065551758,0.03427699019762532,0.29591127556737723,2.393672227859497
18,0.3168948738050888,1714842983.3185117,0.1458868295074236,18,6.172249794006348,0.03321521918606949,0.2836796546190193,2.4328665733337402
19,0.30649540699967426,1714842983.3677123,0.12269565551693681,19,6.221450328826904,0.031099309941897867,0.2753960970577764,2.482051134109497
20,0.30014475380297095,1714842983.408169,0.13535984975642848,20,6.26190710067749,0.027452332113912535,0.27269242168905844,2.522519111633301
21,0.2926761240521882,1714842983.4474037,0.12442037460533464,21,6.301141738891602,0.029732545563761363,0.2629435784884268,2.561751127243042
22,0.28350198420192385,1714842983.4872696,0.11941400720064155,22,6.341007709503174,0.02895734820906483,0.25454463599285904,2.6016368865966797
23,0.276898945460627,1714842983.5266826,0.11490418742926763,23,6.380420684814453,0.025910883756472554,0.25098806170415444,2.6409597396850586
24,0.27426902815975446,1714842983.5647058,0.11072256366532114,24,6.418443918228149,0.025413022474997674,0.2488560056847568,2.6790733337402344
25,0.2728410429420966,1714842983.6076353,0.12190172182109281,25,6.461373329162598,0.024715755776121544,0.24812528716597507,2.721975088119507
26,0.27115916314699684,1714842983.6508496,0.12196605168436554,26,6.504587650299072,0.025487599719545673,0.24567156342745117,2.7653331756591797
27,0.26672847642949954,1714842983.6882794,0.14795675453560156,27,6.542017459869385,0.02594826136169181,0.24078021506780772,2.8027539253234863
28,0.25698908081985805,1714842983.7254646,0.11642542236832829,28,6.579202651977539,0.02840824621605725,0.22858083460380083,2.8399367332458496
29,0.2445466709684974,1714842983.7628024,0.12714663773522172,29,6.616540431976318,0.026216921145200068,0.2183297498232973,2.8771557807922363
30,0.23413345262310112,1714842983.8002398,0.11284126129149193,30,6.653977870941162,0.023745251058070183,0.21038820156503094,2.9147233963012695
31,0.22857188898300781,1714842983.8377461,0.11001857339181331,31,6.691484212875366,0.0217606178173263,0.20681127116568152,2.952186346054077
32,0.22432343958873144,1714842983.8761883,0.11854038755487376,32,6.729926347732544,0.021947578344089065,0.20237586124464238,2.9906463623046875
33,0.21952318308078886,1714842983.9141958,0.11542597835360058,33,6.7679338455200195,0.022220179055150384,0.19730300402563847,3.0286645889282227
34,0.21450427802603278,1714842983.9512627,0.11487996021987419,34,6.8050007820129395,0.021054812028313573,0.1934494659977192,3.0657036304473877
35,0.21075593628737266,1714842983.988762,0.1015392571085069,35,6.8424999713897705,0.020777368522289605,0.18997856776508304,3.1032276153564453
36,0.20859006552750678,1714842984.025709,0.10527088092477964,36,6.879446983337402,0.019264241693235255,0.18932582383427152,3.140195369720459
37,0.20765172300850585,1714842984.0638795,0.10416820689775075,37,6.917617559432983,0.019417126543805934,0.18823459646469992,3.1783463954925537
38,0.20694246040471398,1714842984.1020575,0.10671321644468591,38,6.955795526504517,0.019263185595251288,0.1876792748094627,3.2164409160614014
39,0.20576239628672854,1714842984.1396925,0.1009495745351047,39,6.9934306144714355,0.01964638342511265,0.1861160128616159,3.254102945327759
40,0.2027647182407449,1714842984.1774068,0.1321964019222864,40,7.031144857406616,0.019311131073070944,0.18345358716767396,3.2918200492858887
