step,_step,loss,_runtime,time,l2_error,loss_interior,loss_boundary,_timestamp
0,0,121.7599812787429,5.5558531284332275,1.498497486114502,1.9581383871852818,120.3092726036797,1.4507086750632023,1714356423.855179
1,1,43.70063657149927,5.6835455894470215,1.8609716892242432,3.1782571987109813,40.92176307030098,2.7788735011982864,1714356423.9828715
2,2,17.646010492954762,5.771340370178223,1.956465482711792,3.5133597701125683,10.836352214822062,6.8096582781327,1714356424.0706663
3,3,16.344610361123117,5.842413902282715,2.025712728500366,3.5954383233475395,8.158362128102718,8.186248233020397,1714356424.1417398
4,4,16.040747464850128,5.9435648918151855,2.1286814212799072,3.563134539991358,7.471961768168376,8.568785696681752,1714356424.2428908
5,5,15.18782248902859,6.011403799057007,2.1965737342834473,3.3098080223422195,6.683605966535904,8.504216522492687,1714356424.3107297
6,6,14.45138956913075,6.078840494155884,2.2639498710632324,2.7954693218245095,7.019518851669005,7.431870717461744,1714356424.3781664
7,7,13.0706111439748,6.145437479019165,2.3306198120117188,1.9537218096187206,7.750366571239065,5.320244572735735,1714356424.4447634
8,8,10.620202269239282,6.212140321731567,2.3973143100738525,0.8466246114082722,8.07149241717566,2.548709852063623,1714356424.5114663
9,9,8.519101654089958,6.279222726821899,2.464343309402466,0.5985510916663921,8.06481058169917,0.45429107239078825,1714356424.5785487
10,10,7.966865433660863,6.347189426422119,2.5322177410125732,0.9078673680586694,7.712291501495856,0.25457393216500696,1714356424.6465154
11,11,7.270442998396872,6.415337562561035,2.6004438400268555,1.2344100798623652,6.692535601946257,0.5779073964506154,1714356424.7146635
12,12,6.379928618617592,6.4956231117248535,2.6808297634124756,1.2347681441524125,5.376201314754131,1.0037273038634607,1714356424.794949
13,13,5.660838304493199,6.562282085418701,2.7475104331970215,1.0354198720172043,4.6701933302371605,0.9906449742560379,1714356424.861608
14,14,5.44213423820803,6.629061698913574,2.8141651153564453,0.7144330147316207,4.7317728698333275,0.7103613683747025,1714356424.9283876
16,15,5.21278543917334,6.760507106781006,2.945686101913452,0.4792143977188783,4.990399728676247,0.22238571049709205,1714356425.059833
17,16,5.07478020634814,6.826829671859741,3.01200532913208,0.6479754151117781,4.919298681779655,0.15548152456848424,1714356425.1261556
18,17,4.863372478134653,6.895082235336304,3.0801286697387695,0.78981070797866,4.567234401581896,0.2961380765527573,1714356425.1944082
20,18,4.6941071138800865,7.029181480407715,3.214322328567505,0.923166083108759,4.094411311143983,0.5996958027361042,1714356425.3285074
21,19,4.566672359971453,7.096277713775635,3.2813644409179688,0.9598091262608285,3.891364771429734,0.6753075885417188,1714356425.3956037
23,20,4.268037947376341,7.234775066375732,3.419536828994751,0.6179153423568979,3.707382962132668,0.560654985243672,1714356425.534101
24,21,3.662810385515741,7.303018093109131,3.4881181716918945,0.6351425064520844,3.4205159024308074,0.24229448308493362,1714356425.602344
26,22,3.4500695742958003,7.4449262619018555,3.629951238632202,0.793040316588104,3.1085523157757833,0.3415172585200171,1714356425.7442522
28,23,3.377282271469617,7.5796520709991455,3.764714002609253,0.8169841961766958,2.924093626207597,0.4531886452620203,1714356425.878978
31,24,3.0871453382820846,7.789729595184326,3.9747557640075684,0.7232159045466215,2.7149283038828984,0.3722170343991863,1714356426.0890555
33,25,3.014883844232055,7.933964729309082,4.118867635726929,0.6531068300129936,2.673528518193063,0.3413553260389923,1714356426.2332907
35,26,2.849109680060393,8.06840467453003,4.253471374511719,0.507978673605068,2.637991359269679,0.21111832079071394,1714356426.3677306
38,27,2.588405196067684,8.266320943832397,4.4511871337890625,0.4802816794148754,2.3965908044587048,0.1918143916089792,1714356426.565647
41,28,2.537452029576018,8.478857278823853,4.6638853549957275,0.378726205219986,2.4240049338594196,0.11344709571659853,1714356426.7781832
44,29,2.3801839594168004,8.679497718811035,4.864609956741333,0.3976417159581195,2.26519524511025,0.11498871430655026,1714356426.9788237
48,30,2.212976212166103,8.951181411743164,5.1362624168396,0.404618843608155,2.095295262540488,0.11768094962561491,1714356427.2505074
51,31,2.10951086099508,9.15074634552002,5.335843563079834,0.44015813256247116,1.9801977237005788,0.12931313729450103,1714356427.4500723
55,32,2.0508147087561124,9.417722940444946,5.602671384811401,0.3055596726348131,1.944409189783225,0.10640551897288722,1714356427.717049
59,33,1.9403075429121504,9.692312240600586,5.876965761184692,0.31462056766456514,1.8648097250177804,0.07549781789436998,1714356427.9916382
64,34,1.8817188130860805,10.032031774520874,6.2169976234436035,0.26629752469420215,1.8182878282689185,0.06343098481716193,1714356428.3313577
69,35,1.8172213961135906,10.359780073165894,6.544903039932251,0.2866500346276149,1.759286478044222,0.05793491806936864,1714356428.659106
74,36,1.7624122067458163,10.698108196258545,6.883155584335327,0.2567989234450238,1.7067157920698688,0.05569641467594764,1714356428.9974341
