_step,_timestamp,loss,_runtime,l2_error,loss_boundary,loss_interior,step,time
0,1714536437.7864385,121.7599812787429,5.353442430496216,1.8685912465194392,1.4507086750632023,120.3092726036797,0,1.3976290225982666
1,1714536437.8594496,113.19445820406364,5.426453590393066,1.7693752211967833,1.6925855611903808,111.50187264287325,1,1.674377679824829
2,1714536437.9155116,101.25661772573397,5.482515573501587,0.574185474231705,1.6108702472959062,99.64574747843807,2,1.7302947044372559
3,1714536437.9712298,80.27326746749407,5.538233757019043,1.9039776302222318,0.2772015528058839,79.99606591468819,3,1.7860746383666992
4,1714536438.0290868,64.07944925099098,5.596090793609619,1.8939840289054792,2.0176075291391316,62.06184172185185,4,1.8425419330596924
5,1714536438.0863678,30.254560848548174,5.653371810913086,2.109643830972488,2.611863507189513,27.642697341358662,5,1.9013028144836426
6,1714536438.1435359,27.532166368948474,5.710539817810059,2.367682765333656,3.1890554612396063,24.343110907708866,6,1.9583847522735596
7,1714536438.2004123,24.681297894419274,5.76741623878479,2.596473948123521,3.92999803417727,20.751299860242003,7,2.015254497528076
8,1714536438.2565045,22.109655304276092,5.8235085010528564,2.7675278572746502,4.664843543923233,17.44481176035286,8,2.0713953971862793
9,1714536438.3124182,20.731219107376653,5.879422187805176,2.8166756375615654,5.261684039189497,15.469535068187154,9,2.1273393630981445
10,1714536438.3690941,20.326231085178858,5.936098098754883,2.843056732405597,5.437274695306011,14.888956389872847,10,2.183974266052246
11,1714536438.424585,19.65138327087569,5.991589069366455,2.7950268590028,5.520143000653342,14.131240270222348,11,2.2395315170288086
12,1714536438.4800653,19.12992418580988,6.047069311141968,2.6819856008964953,5.324702124029604,13.805222061780276,12,2.294956922531128
13,1714536438.5351276,18.371297757847287,6.102131605148315,2.613907879919769,4.908605502487069,13.462692255360217,13,2.350023031234741
14,1714536438.5901835,17.959818923182652,6.157187461853027,2.55021411627345,4.6685084479860945,13.291310475196559,14,2.405301094055176
15,1714536438.639874,17.549199928888903,6.206877946853638,2.500798332932598,4.445703731436135,13.103496197452769,15,2.454977512359619
16,1714536438.6886942,17.261372236308645,6.255698204040527,2.468342751031199,4.269555187034195,12.99181704927445,16,2.5037903785705566
17,1714536438.735981,16.997983122409355,6.302984952926636,2.433154193444329,4.148550854333052,12.849432268076304,17,2.5511069297790527
18,1714536438.781212,16.3221980289653,6.3482160568237305,2.390774062121003,4.00831543132273,12.31388259764257,18,2.596407890319824
19,1714536438.8259077,13.982811567319887,6.392911672592163,2.365853162153399,3.8721844742743308,10.110627093045556,19,2.6411166191101074
20,1714536438.871398,13.022929179763866,6.438401937484741,2.352362981754208,3.8197926443688117,9.203136535395053,20,2.6865453720092773
21,1714536438.920292,12.857312344034511,6.487295866012573,2.336486640869972,3.7888470584032587,9.068465285631254,21,2.73551344871521
22,1714536438.9649868,12.73612814084335,6.5319907665252686,2.2968627277158897,3.7456799207378135,8.990448220105536,22,2.7802603244781494
23,1714536439.0091295,12.359587583602849,6.576133489608765,2.188661999399099,3.6253937893294887,8.73419379427336,23,2.8243565559387207
24,1714536439.054426,11.145972200759482,6.621429920196533,2.1183425971698737,3.2912103080893664,7.8547618926701155,24,2.8695778846740723
25,1714536439.0998898,10.562437601862612,6.666893720626831,2.039194961503033,3.0832779714947187,7.479159630367893,25,2.915053606033325
26,1714536439.1457493,10.22863525332581,6.7127532958984375,1.961068755373215,2.8586742734199535,7.369960979905857,26,2.961034059524536
27,1714536439.1905308,10.010635294874508,6.757534742355347,1.6854334972587461,2.6468967818353075,7.363738513039199,27,3.0057053565979004
28,1714536439.2442944,8.613971968159053,6.811298370361328,1.6119070782666418,1.9665353581962657,6.647436609962788,28,3.0594589710235596
29,1714536439.2889595,7.321481679388449,6.855963468551636,1.5587807124419497,1.7865432995374617,5.5349383798509875,29,3.1042213439941406
30,1714536439.3338773,6.898954643019248,6.900881290435791,1.470674698667776,1.6512503434652985,5.247704299553949,30,3.1490886211395264
31,1714536439.3795614,6.339675059134944,6.946565389633179,1.333042257925787,1.4626702778475211,4.877004781287423,31,3.194719076156616
32,1714536439.4263387,5.596771339026587,6.993342638015747,0.9845872802184588,1.2019082629604196,4.394863076066167,32,3.2415013313293457
33,1714536439.4766383,4.689470728479263,7.043642282485962,0.806869941743678,0.6517052769589721,4.037765451520291,33,3.291682004928589
34,1714536439.5216398,3.977690885924796,7.088643789291382,0.7243086262146164,0.4402374552162657,3.5374534307085304,34,3.3369040489196777
35,1714536439.5660286,3.8114689264746815,7.133032560348511,0.5780471146146874,0.35637599397320013,3.4550929325014814,35,3.381277084350586
36,1714536439.6154897,3.3668025933569887,7.182493686676025,0.5155095581743985,0.22838323691628426,3.1384193564407044,36,3.4307491779327393
37,1714536439.6618001,3.135204261659868,7.228804111480713,0.46013026085220166,0.18226936313990086,2.952934898519967,37,3.476921319961548
38,1714536439.7081902,2.978450819165551,7.27519416809082,0.36079870932234515,0.14674335723062604,2.831707461934925,38,3.5233304500579834
39,1714536439.7549074,2.807262814634599,7.321911334991455,0.30095371144456345,0.09702034605404643,2.7102424685805526,39,3.5700247287750244
40,1714536439.8030722,2.4704652488877836,7.3700761795043945,0.2988071639955474,0.0746373760982039,2.39582787278958,40,3.6182122230529785
41,1714536439.8939738,2.3380473953267016,7.460977792739868,0.28919619523291296,0.07190423008138988,2.2661431652453117,42,3.7091028690338135
42,1714536440.0693445,1.5979178120064956,7.636348485946655,0.2469204627757162,0.05270034410443845,1.5452174679020572,46,3.8845055103302
43,1714536440.2493672,1.2085030943203507,7.816371202468872,0.30149443483614413,0.05514415560619498,1.1533589387141558,50,4.064537525177002
44,1714536440.4722183,0.7376794781606908,8.039222240447998,0.307878888937718,0.07018511905050122,0.6674943591101896,55,4.2873711585998535
45,1714536440.7337143,0.5305173252251337,8.300718307495117,0.22909396639261698,0.05504992769463153,0.4754673975305022,61,4.5489068031311035
46,1714536440.994949,0.34872036487232483,8.561953067779541,0.21077289285695075,0.040921961110280486,0.30779840376204437,67,4.810089826583862
47,1714536441.254981,0.24616330348218055,8.821985006332397,0.21670964428207656,0.041874224942556555,0.204289078539624,73,5.07015585899353
48,1714536441.6023223,0.1749314927443512,9.169326305389404,0.19576436788870405,0.03951334451515783,0.13541814822919337,81,5.41741156578064
49,1714536441.9655366,0.13272339021751878,9.532540559768677,0.193032435627524,0.036139871240466054,0.09658351897705271,89,5.780663013458252
50,1714536442.3630419,0.11568419156358137,9.93004584312439,0.18245980838528886,0.0340478009935631,0.08163639057001827,98,6.178178787231445
51,1714536442.752717,0.0945007934716309,10.319720983505249,0.17155462236545224,0.029882695359117115,0.06461809811251379,107,6.567887783050537
52,1714536443.245779,0.0742077990725796,10.812783002853394,0.15720706395429712,0.024881125869120838,0.049326673203458765,118,7.060920238494873
53,1714536443.7735848,0.0640699604220458,11.340588808059692,0.15314232010508722,0.02247207077457267,0.04159788964747312,130,7.588776111602783
54,1714536444.3549244,0.05119208461489112,11.921928405761719,0.13422843379171237,0.018167332075242373,0.033024752539648754,143,8.16947889328003
55,1714536444.9767618,0.04499670117192206,12.543765783309937,0.12478667093779447,0.01599175177786521,0.029004949394056852,157,8.790823698043823
56,1714536445.6305132,0.037269836948275556,13.197517156600952,0.11417109587398845,0.01338292068485339,0.023886916263422164,172,9.445700645446777
57,1714536446.4231708,0.030373798776329064,13.990174770355225,0.10844943454759758,0.011152702427276109,0.019221096349052957,190,10.238276243209839
58,1714536447.205713,0.02449679683471581,14.772716999053955,0.09648100075535733,0.009150173347673929,0.015346623487041881,208,11.020813226699829
59,1714536448.1122136,0.02021384179166203,15.67921757698059,0.08696728511455579,0.007537237618615592,0.012676604173046438,229,11.927386283874512
60,1714536449.1250465,0.015275500470267305,16.692050457000732,0.077229002710497,0.005738063820205148,0.009537436650062158,252,12.94020128250122
61,1714536450.2240455,0.011245737907153268,17.791049480438232,0.06831118391822387,0.0043404872911497906,0.006905250616003478,277,14.038933038711548
62,1714536451.4556096,0.008036087204386064,19.022613525390625,0.05961491592682297,0.0032131005550471957,0.004822986649338869,305,15.270652532577515
63,1714536452.7564547,0.0060977480141211704,20.323458671569824,0.052082924575791376,0.0023728269465932796,0.003724921067527891,335,16.571345329284668
64,1714536454.2208738,0.004448742035670661,21.787877798080444,0.04505297453280539,0.001682238913733951,0.0027665031219367103,369,18.036096334457397
65,1714536455.814401,0.0034138041421276,23.381404876708984,0.03779653733254075,0.0012126657812604193,0.0022011383608671804,406,19.62959051132202
66,1714536457.5453727,0.00264335963413848,25.11237668991089,0.03192152662586418,0.0008820876813946349,0.0017612719527438454,446,21.360544204711914
67,1714536459.5124743,0.0020284881156763645,27.07947826385498,0.02700458343135081,0.0006298006730321928,0.0013986874426441718,491,23.32738757133484
68,1714536461.938276,0.0015110917399291247,29.505280017852783,0.022315428361192092,0.00042975751059909215,0.0010813342293300326,540,25.75264286994934
69,1714536464.827502,0.0012226051555571794,32.394505977630615,0.019656187819224475,0.0003309854023911489,0.0008916197531660306,594,28.642395973205566
70,1714536467.9234297,0.0009930317835630032,35.49043369293213,0.017639738483742857,0.0002570908296986112,0.0007359409538643921,653,31.73781132698059
71,1714536471.3451223,0.0008144750432934452,38.912126302719116,0.015321922845105437,0.00019887951177277973,0.0006155955315206654,718,35.1599862575531
72,1714536475.110369,0.0006080114909044484,42.67737293243408,0.012502344086009814,0.00012675238914822896,0.00048125910175621944,790,38.92533254623413
