step,_step,loss,_runtime,time,l2_error,loss_interior,loss_boundary,_timestamp
0,0,48.04487896124718,17.064209699630737,12.011782884597778,1.7797862435363416,48.036090072154934,0.008788889092245518,1711629981.4176228
1,1,40.48438592151979,27.50165343284607,22.452492475509644,0.9777752898054579,38.27726371179943,2.2071222097203593,1711629991.8550665
2,2,33.59269912331958,38.80054831504822,33.751219034194946,0.8916780019767226,32.74135686968434,0.851342253635246,1711630003.1539614
3,3,12.69459179716359,51.58337759971619,46.53351902961731,0.8183605568746202,11.845289041089988,0.8493027560736024,1711630015.9367907
4,4,8.930313237886656,64.44583916664124,59.39671778678894,0.5471600051224564,8.355853976491579,0.5744592613950765,1711630028.7992523
5,5,3.9648495430112694,77.31680965423584,72.26742053031921,0.4256838333382272,3.687585709884416,0.2772638331268532,1711630041.6702228
6,6,1.7903413289336525,90.14167594909668,85.09235501289368,0.1806448112045998,1.6297297081751712,0.1606116207584813,1711630054.495089
7,7,0.7760309385429907,103.07103276252747,98.02034282684326,0.06878759125056987,0.7483231052491344,0.027707833293856333,1711630067.4244459
8,8,0.2841376634152802,115.95413136482239,110.90489983558655,0.06201603660948038,0.2747884686702378,0.009349194745042378,1711630080.3075445
9,9,0.12737214166122787,128.95331263542175,123.90397238731384,0.0563028023729455,0.12026811334110249,0.007104028320125385,1711630093.3067257
10,10,0.049956495793844743,142.00366187095642,136.9539089202881,0.05643712259686752,0.043781167269978785,0.0061753285238659575,1711630106.357075
11,11,0.021803185107057678,155.15794610977173,150.10894012451172,0.053143299999096526,0.016756329310993058,0.005046855796064621,1711630119.5113592
12,12,0.015106374332406976,168.23650074005127,163.1874234676361,0.0456690281992153,0.010317604418087621,0.004788769914319355,1711630132.5899138
13,13,0.011873804531224785,181.3339283466339,176.28439903259277,0.0469639889638589,0.007539126068586962,0.004334678462637822,1711630145.6873415
14,14,0.009154556613720305,194.41832375526428,189.36923956871033,0.042382209380973014,0.005248141065160946,0.003906415548559358,1711630158.7717369
15,15,0.006913006767457209,207.38154006004333,202.33244061470032,0.039680340556281266,0.003942606764021307,0.0029704000034359024,1711630171.7349532
16,16,0.004544870966317656,220.4098105430603,215.3608684539795,0.033097700935822115,0.0021112047522208587,0.0024336662140967964,1711630184.7632236
17,17,0.003344157865370549,233.46355819702148,228.41413760185242,0.027754709034295152,0.001488207661345128,0.0018559502040254212,1711630197.8169713
18,18,0.002462813102640233,246.62473440170288,241.57577204704285,0.02537899723698625,0.0011837178368667028,0.0012790952657735302,1711630210.9781475
19,19,0.001618796187353643,259.7510063648224,254.70201349258423,0.01948401389711559,0.0005789121138169761,0.001039884073536667,1711630224.1044195
21,20,0.0005726542777809416,286.00198006629944,280.9527063369751,0.012216649555420185,0.00024511285493142884,0.00032754142284951277,1711630250.3553932
22,21,0.0003365552253180187,299.05692410469055,294.00774788856506,0.009094080951867442,9.811488825446128e-05,0.00023844033706355743,1711630263.4103372
23,22,0.00019476746884442388,312.1799671649933,307.13087368011475,0.005987792738835876,7.48861970919461e-05,0.00011988127175247779,1711630276.5333803
25,23,4.959046752294172e-05,338.47760033607483,333.42829036712646,0.003533201232537715,2.4996074942593888e-05,2.459439258034783e-05,1711630302.8310134
27,24,1.680311148703466e-05,364.7614951133728,359.7124993801117,0.0018302884506793628,8.527672483441368e-06,8.275439003593292e-06,1711630329.1149082
28,25,1.0648042096901588e-05,377.95752453804016,372.90823197364807,0.0011762164155120374,6.615356134826683e-06,4.032685962074905e-06,1711630342.3109376
30,26,4.226095438443876e-06,404.2978253364563,399.2486746311188,0.000654360956922571,2.7479910533509154e-06,1.4781043850929598e-06,1711630368.6512384
32,27,1.8626605676829154e-06,430.61072754859924,425.5614855289459,0.0003290932971655258,1.4449105175650805e-06,4.1775005011783495e-07,1711630394.9641407
34,28,6.907068112270744e-07,454.7725682258606,449.7230806350708,0.00024216912853925913,5.619101983903141e-07,1.2879661283676038e-07,1711630419.1259813
36,29,3.780155409876135e-07,480.7718417644501,475.72248792648315,0.00016435606896749323,3.17954146113656e-07,6.006139487395746e-08,1711630445.1252549
39,30,1.3211718612709637e-07,520.1787385940552,515.1294248104095,0.00010835599663583917,1.0896793555915427e-07,2.3149250567942097e-08,1711630484.5321517
41,31,8.965960208682075e-08,546.4819114208221,541.4322199821472,8.739383745525226e-05,7.511917340014627e-08,1.4540428686674477e-08,1711630510.8353245
44,32,5.469336804809297e-08,586.0357058048248,580.9867269992828,6.07920008794308e-05,4.6798296506976405e-08,7.89507154111657e-09,1711630550.389119
47,33,3.054620380738015e-08,625.5310134887695,620.4815239906311,4.081318086804576e-05,2.6955526120235335e-08,3.5906776871448154e-09,1711630589.8844266
50,34,1.7039476563554526e-08,664.6817586421967,659.6323392391205,2.8886606810864158e-05,1.5407219842741148e-08,1.6322567208133787e-09,1711630629.0351717
53,35,9.568659233357284e-09,703.8080275058746,698.7587974071503,1.6388555363190328e-05,8.790750869494114e-09,7.779083638631692e-10,1711630668.1614406
57,36,2.9292056672599903e-09,755.3135378360748,750.2637102603912,7.826728875797965e-06,2.81771145000318e-09,1.1149421725681044e-10,1711630719.666951
60,37,1.3421136520205607e-09,794.0072417259216,788.9579498767853,4.852590470086299e-06,1.2926459215171685e-09,4.946773050339212e-11,1711630758.3606548
64,38,5.533323887438544e-10,845.1824328899384,840.1330223083496,4.450010024907519e-06,5.213738099148444e-10,3.195857882900996e-11,1711630809.535846
68,39,3.122922156076093e-10,896.1961965560913,891.146639585495,4.296300582341537e-06,2.8495154676176235e-10,2.7340668845846955e-11,1711630860.5496097
73,40,1.8826642128407909e-10,959.7941889762878,954.7448132038116,3.9455805748311214e-06,1.6476011566122228e-10,2.3506305622856805e-11,1711630924.147602
77,41,1.5004403203298285e-10,1010.6746873855591,1005.6250560283661,3.715403780574096e-06,1.2888394878646081e-10,2.1160083246522047e-11,1711630975.0281005
82,42,1.1742632372273743e-10,1074.471313714981,1069.4220442771912,3.561454464302329e-06,9.933060062043305e-11,1.8095723102304384e-11,1711631038.8247268
88,43,9.640314797943861e-11,1151.5791959762573,1146.529973745346,3.2883909108040896e-06,8.05254239312404e-11,1.58777240481982e-11,1711631115.932609
93,44,8.17484312131859e-11,1216.425184726715,1211.3752796649933,3.0924048246531365e-06,6.760195673658946e-11,1.4146474476596448e-11,1711631180.7785978
99,45,7.116816622627386e-11,1295.0945630073547,1290.0453429222107,2.9420463814776876e-06,5.802546225505321e-11,1.3142703971220646e-11,1711631259.447976
106,46,6.164525513208524e-11,1386.2373397350311,1381.187767982483,2.822045817465653e-06,4.9665943652968484e-11,1.1979311479116764e-11,1711631350.5907528
113,47,5.403956631337405e-11,1477.8110406398773,1472.7616045475006,2.6906845383899926e-06,4.293975668246996e-11,1.1099809630904084e-11,1711631442.1644537
120,48,4.804472677690307e-11,1569.2944104671478,1564.2449803352356,2.6261867933940145e-06,3.762145299937167e-11,1.0423273777531404e-11,1711631533.6478236
128,49,4.2717137477700355e-11,1673.031238079071,1667.9819059371948,2.5402876500108928e-06,3.292384232658821e-11,9.793295151112147e-12,1711631637.3846512
136,50,3.740336936172809e-11,1775.3160450458527,1770.2666490077972,2.473058760022405e-06,2.8179276280382635e-11,9.224093081345456e-12,1711631739.6694582
145,51,3.378515399203013e-11,1889.7497248649597,1884.7004563808441,2.4144398007691293e-06,2.5036754020589112e-11,8.748399971441017e-12,1711631854.103138
154,52,3.085990772898151e-11,2004.5480868816376,1999.4988150596619,2.36106126956899e-06,2.2574272855153396e-11,8.285634873828119e-12,1711631968.9015
164,53,2.7790864970207892e-11,2133.390214443207,2128.340740919113,2.305196247828444e-06,2.0012193984590782e-11,7.778670985617111e-12,1711632097.7436275
175,54,2.4952623658125165e-11,2276.200977087021,2271.151741027832,2.2092644323229558e-06,1.7661875458230152e-11,7.290748199895013e-12,1711632240.5543902
186,55,2.2458787181177606e-11,2418.954244852066,2413.90491271019,2.147747373792993e-06,1.566995979866296e-11,6.788827382514643e-12,1711632383.307658
198,56,2.0052434823555527e-11,2575.274178981781,2570.224753379822,2.066419747874552e-06,1.379592000141011e-11,6.2565148221454166e-12,1711632539.627592
211,57,1.8013652754216386e-11,2741.263547897339,2736.2141501903534,1.946272855226722e-06,1.2227930966357337e-11,5.785721787859051e-12,1711632705.616961
224,58,1.5772053007727134e-11,2906.779386281967,2901.729955673218,1.8826386081611472e-06,1.0542821268432545e-11,5.229231739294588e-12,1711632871.1327994
238,59,1.4573715484974074e-11,3086.246397256851,3081.197153568268,1.8232064688286567e-06,9.659197039473425e-12,4.914518445500651e-12,1711633050.5998104
254,60,1.343074458804725e-11,3292.677257537842,3287.627829551697,1.7525297144943616e-06,8.839688930176226e-12,4.591055657871025e-12,1711633257.0306706
270,61,1.2076957874656144e-11,3497.080053091049,3492.0306148529053,1.6594487538336599e-06,7.912687811241923e-12,4.164270063414221e-12,1711633461.4334662
