loss_boundary,_timestamp,l2_error,loss,time,_runtime,loss_interior,step,_step
0.008788889092245518,1711580838.5975916,0.43440757032216687,48.04487896124718,49.48049974441528,53.05431771278381,48.036090072154934,0,0
0.003375950337603542,1711580887.0147622,0.4349122379404048,47.971764005333725,97.89780879020691,101.47148823738098,47.96838805499612,1,1
0.0033123239914045356,1711580935.2627528,1.6770612487675072,47.96112440110217,146.1454975605011,149.7194788455963,47.957812077110766,2,2
2.0159993268165723,1711580983.6164546,1.6727857973177163,37.081022509866266,194.4993839263916,198.0731806755066,35.065023183049696,3,3
2.0071108019116126,1711581031.9832053,1.470200404237066,37.04936773257558,242.86627411842346,246.43993139266968,35.04225693066397,4,4
1.604537667066529,1711581080.2476728,1.3541481249571974,36.79912113061283,291.1307063102722,294.70439887046814,35.1945834635463,5,5
1.2886236073732682,1711581128.7738874,1.0288354640283564,27.400627871935736,339.6568760871887,343.2306134700775,26.11200426456247,6,6
0.770628497893414,1711581177.2729006,0.8931643358029431,21.29618634146122,388.1506505012512,391.7296266555786,20.525557843567803,7,7
0.600773044307204,1711581225.7662525,0.792791830232633,19.830088186405707,436.64907598495483,440.22297859191895,19.229315142098503,8,8
0.49374557187563145,1711581274.3520627,0.7837502261812591,19.471601074855094,485.2351577281952,488.8087887763977,18.977855502979462,9,9
0.48423730617424443,1711581322.7102208,0.7636097583941303,19.164048958340132,533.5931594371796,537.16694688797,18.67981165216589,10,10
0.4629491279406127,1711581371.1451175,0.7271081950001663,18.703967407420603,582.0279574394226,585.6018435955048,18.24101827947999,11,11
0.42675499481175655,1711581419.4736338,0.7121304235709941,18.23708269973457,630.3565864562988,633.9303598403931,17.810327704922816,12,12
0.4109844967685729,1711581467.955884,0.7035446604751644,17.723436822122313,678.8388915061951,682.4126100540161,17.31245232535374,13,13
0.4015349508659614,1711581516.4319546,0.6169571467557219,17.27710971259405,727.3147492408752,730.8886806964874,16.87557476172809,14,14
0.32038814356157974,1711581564.5836172,0.190698301861723,16.19807022205758,775.4665882587433,779.0403432846069,15.877682078496003,15,15
0.04046182533864833,1711581612.8877668,0.34773403464422553,6.873549774911161,823.7706570625305,827.3444929122925,6.833087949572512,16,16
0.08297595841787665,1711581661.1232553,0.18182362367790356,2.3282325399493855,872.006046295166,875.5799813270569,2.2452565815315086,17,17
0.027470055736769108,1711581709.4509182,0.05095516346963861,1.3449017561459098,920.3340363502502,923.9076442718506,1.3174317004091407,18,18
0.0035304809204294223,1711581757.6668015,0.15633359637508404,0.7634394177241834,968.5497727394104,972.1235275268555,0.759908936803754,19,19
