step,_runtime,_step,loss_interior,time,_timestamp,loss_boundary,l2_error,loss
0,4.942366361618042,0,120.66585450262039,0.9803454875946045,1714558569.8618963,1.4923301999957372,1.5856823722390463,122.15818470261613
1,4.957546710968018,1,120.66147322238885,1.199439287185669,1714558569.8770766,1.4916872213054886,1.5850430636589121,122.15316044369433
2,4.971772193908691,2,120.65317227694906,1.2128801345825195,1714558569.891302,1.4904700380080922,1.5841361214214196,122.14364231495716
3,4.984729051589966,3,120.64138095993025,1.2256243228912354,1714558569.904259,1.4887436279547401,1.5829928705577905,122.13012458788498
4,4.997676372528076,4,120.62648707544903,1.2386062145233154,1714558569.9172063,1.486567893058181,1.58164135615354,122.11305496850721
5,5.010402679443359,5,120.60882782140786,1.2513227462768555,1714558569.9299326,1.4839964664882037,1.580105826984757,122.09282428789606
6,5.023157358169556,6,120.58868167784493,1.2639844417572021,1714558569.9426873,1.4810757027656192,1.5784063287426457,122.06975738061055
7,5.035951137542725,7,120.56626167599255,1.2771358489990234,1714558569.955481,1.4778438921716028,1.5765584076280297,122.04410556816416
8,5.04876708984375,8,120.54170998985997,1.2899980545043945,1714558569.968297,1.4743306986177902,1.5745729092445218,122.01604068847776
9,5.061911344528198,9,120.51509348258278,1.3028500080108643,1714558569.9814413,1.470556789660818,1.5724558470177648,121.9856502722436
10,5.076284170150757,10,120.48639962761717,1.3159246444702148,1714558569.995814,1.4665336071980744,1.570208307739375,121.95293323481525
11,5.089727401733398,11,120.45553207818018,1.330810308456421,1714558570.0092573,1.4622632153854698,1.5678263580220444,121.91779529356566
12,5.103233575820923,12,120.42230504231968,1.3440907001495361,1714558570.0227635,1.4577381559752014,1.5653009131400966,121.88004319829489
13,5.116668701171875,13,120.38643549902294,1.3575525283813477,1714558570.0361986,1.452941238010545,1.5626175276019014,121.83937673703348
14,5.130016326904297,14,120.3475321235968,1.370939016342163,1714558570.0495462,1.4478451861357131,1.55975606353608,121.79537730973252
15,5.143772125244141,15,120.30507953291381,1.384704828262329,1714558570.063302,1.4424120672658796,1.5566901871643914,121.74749160017969
16,5.157542705535889,16,120.25841605508691,1.398611068725586,1714558570.0770726,1.436592406559693,1.553386633611799,121.69500846164661
17,5.170912981033325,17,120.20670259156813,1.41180419921875,1714558570.090443,1.4303238877754143,1.5498041638396236,121.63702647934355
18,5.184141635894775,18,120.14887914683766,1.4250595569610596,1714558570.1036716,1.4235295066319684,1.5458921112947677,121.57240865346962
19,5.197300910949707,19,120.08360404913891,1.438302755355835,1714558570.1168308,1.4161150036907248,1.5415883747671142,121.49971905282963
20,5.210488796234131,20,120.00916843668837,1.4513294696807861,1714558570.1300187,1.407965337780849,1.5368166494172686,121.41713377446922
21,5.22258996963501,21,119.92337465549929,1.464339256286621,1714558570.14212,1.3989398596943246,1.5314825855372827,121.32231451519361
22,5.2337329387664795,22,119.82336077875874,1.4762694835662842,1714558570.1532629,1.388865688302819,1.5254683992738645,121.21222646706156
23,5.245023965835571,23,119.70534264276056,1.4876537322998047,1714558570.1645539,1.3775285429694855,1.5186251868357883,121.08287118573004
24,5.256009101867676,24,119.56422609295053,1.4986507892608643,1714558570.175539,1.3646598883890602,1.5107617332815606,120.92888598133959
25,5.267214059829712,25,119.39300875027568,1.5098464488983154,1714558570.186744,1.3499185995340537,1.5016278111740735,120.74292734980973
26,5.278409242630005,26,119.18182891158239,1.5210163593292236,1714558570.1979392,1.3328642804746822,1.490888558809941,120.51469319205707
27,5.289608716964722,27,118.91640082170488,1.5321121215820312,1714558570.2091386,1.3129175744205202,1.4780840026147382,120.22931839612541
28,5.300896406173706,28,118.57533918054997,1.5434532165527344,1714558570.2204263,1.2892998038390835,1.4625632191857296,119.86463898438906
29,5.312204122543335,29,118.12538370192425,1.5547726154327393,1714558570.231734,1.2609394164001828,1.4433744801091837,119.38632311832443
30,5.32328200340271,30,117.51246675366667,1.5659046173095703,1714558570.242812,1.2263255518373717,1.4190791183544742,118.73879230550405
31,5.334447860717773,31,116.64416083424561,1.5771770477294922,1714558570.2539778,1.183281697385444,1.3874391718173187,117.82744253163105
32,5.3459813594818115,32,115.35348620164115,1.588623285293579,1714558570.2655113,1.1286395806227725,1.3449318693471204,116.48212578226392
33,5.357542276382446,33,113.32141236599325,1.6001975536346436,1714558570.2770722,1.0578816659828727,1.2862088927239097,114.37929403197613
34,5.368713855743408,34,109.91041865579896,1.6114771366119385,1714558570.2882438,0.965241717449437,1.2045467491227368,110.8756603732484
35,5.38026762008667,35,103.84437082865372,1.6228766441345215,1714558570.2997975,0.8462486151745447,1.097689306482864,104.69061944382827
36,5.391375541687012,36,92.91960668139916,1.633866786956787,1714558570.3109055,0.7080678156102171,0.9897789884689108,93.62767449700938
37,5.402966737747192,37,76.33177873353712,1.6456220149993896,1714558570.3224967,0.5929118036966684,0.9634966702159998,76.92469053723379
38,5.414160966873169,38,72.0530628506438,1.656534194946289,1714558570.333691,0.5864752698586367,1.0025925875877464,72.63953812050244
39,5.425688743591309,39,77.49778739478575,1.6681230068206787,1714558570.3452187,0.6186028850734558,0.5017215136491614,78.1163902798592
40,5.437111139297485,40,46.60107366945243,1.6794297695159912,1714558570.356641,0.18233681934074986,0.5392917213068347,46.78341048879318
42,5.457187652587891,41,59.370260883787935,1.6995594501495361,1714558570.3767176,0.43832743808567376,1.5770630273003208,59.80858832187361
46,5.494210958480835,42,57.67022145131403,1.7365808486938477,1714558570.4137409,1.0570268169426766,1.4096051345069234,58.7272482682567
50,5.530782222747803,43,38.65716077358848,1.7731389999389648,1714558570.4503121,1.8229065836612646,1.0369874318203045,40.480067357249744
55,5.57606840133667,44,24.01863270646685,1.8183379173278809,1714558570.4955983,1.514610539600195,1.5488525087972027,25.533243246067045
61,5.629552602767944,45,13.59050689948955,1.8718674182891846,1714558570.5490825,1.4763052803907308,1.505204429119301,15.066812179880282
67,5.681987047195435,46,10.673227474890664,1.9242851734161377,1714558570.601517,2.68306792847467,2.077002587151851,13.356295403365333
73,5.734631061553955,47,7.127713583027573,1.9769537448883057,1714558570.654161,2.6926969044475624,2.0460518551069087,9.820410487475135
81,5.804438829421997,48,4.913001004215705,2.046741008758545,1714558570.7239687,3.236236898707948,2.0388287339162288,8.149237902923652
89,5.873730182647705,49,3.8323492511216024,2.115938425064087,1714558570.79326,2.6562435734282044,1.9343402638574354,6.488592824549807
98,5.951739311218262,50,3.1664157190599442,2.1940228939056396,1714558570.8712692,2.154471365574482,1.8033975655581005,5.3208870846344265
107,6.0301008224487305,51,2.6862302181831574,2.2723355293273926,1714558570.9496307,1.8400134212727148,1.6173689817195207,4.526243639455872
118,6.123325824737549,52,2.0819526796585746,2.365603446960449,1714558571.0428557,1.618719667800159,1.5299457887051018,3.7006723474587337
130,6.225523471832275,53,1.7498512696769133,2.46768856048584,1714558571.1450534,1.242906923931827,1.3490163226305552,2.99275819360874
143,6.33434534072876,54,7.000938775052614,2.576538562774658,1714558571.2538753,1.0827167848755592,1.142618776257757,8.083655559928173
157,6.453265428543091,55,3.3441571522967055,2.695335865020752,1714558571.3727953,0.6033110596026632,0.971914998529627,3.947468211899369
172,6.580766201019287,56,1.4606477442971186,2.823021173477173,1714558571.500296,0.48767930681774335,0.9342799857533969,1.948327051114862
190,6.731905937194824,57,0.9616630526805755,2.9740521907806396,1714558571.6514359,0.27645305634092243,0.6431876326309577,1.2381161090214978
208,6.8830859661102295,58,0.6812244541598614,3.1254518032073975,1714558571.802616,0.10880266458058101,0.3760036856340619,0.7900271187404424
229,7.058696031570435,59,0.4626936842246743,3.300877094268799,1714558571.978226,0.040187868094756794,0.23365818603005067,0.5028815523194311
252,7.249823570251465,60,0.31377332894272003,3.4920079708099365,1714558572.1693535,0.022139256198187702,0.1676836727771098,0.3359125851409077
277,7.457144498825073,61,0.22301257616137296,3.699295997619629,1714558572.3766744,0.014629411652555357,0.1329186925987507,0.2376419878139283
305,7.692952394485474,62,0.16506911598597995,3.935210943222046,1714558572.6124823,0.010185123697935963,0.1088761848873061,0.1752542396839159
335,7.941101789474487,63,0.12755413253165038,4.183325290679932,1714558572.8606317,0.007552178264067146,0.09239081559916426,0.13510631079571753
369,8.226534128189087,64,0.10052150455794147,4.468851804733276,1714558573.146064,0.0059449729496783114,0.08135807356967764,0.10646647750761978
406,8.535290956497192,65,0.08120937017855043,4.777577638626099,1714558573.4548209,0.004956177077367725,0.0742061826254381,0.08616554725591816
446,8.866957902908325,66,0.5162339262427585,5.1092119216918945,1714558573.7864878,0.010744212528700118,0.14411028333319711,0.5269781387714587
491,9.238877534866333,67,0.07920305769822139,5.481083154678345,1714558574.1584074,0.004962788682141005,0.07375601230748563,0.0841658463803624
540,9.643746137619019,68,0.060500893838341244,5.8861610889434814,1714558574.563276,0.0040491194837180555,0.06776037803333913,0.0645500133220593
594,10.087821960449219,69,0.04892732231620733,6.330077171325684,1714558575.0073519,0.003530460385815544,0.06349437495654789,0.05245778270202288
653,10.579890966415405,70,0.04059599123149394,6.822272539138794,1714558575.499421,0.003135057347336322,0.060063769284358325,0.04373104857883026
718,11.114454507827759,71,0.0341799224519896,7.35672402381897,1714558576.0339844,0.0028002229667960883,0.05694234188304855,0.036980145418785686
790,11.706502437591553,72,0.029060050258049325,7.949064493179321,1714558576.6260324,0.0025055399435603633,0.054003405356952736,0.03156559020160969
869,12.357447385787964,73,0.024932107965213855,8.5996732711792,1714558577.2769773,0.0022455031525939035,0.05123199765619603,0.027177611117807757
956,13.075612545013428,74,0.02154045334050911,9.317886590957642,1714558577.9951425,0.002014729484857815,0.04860419261647453,0.02355518282536693
1052,13.864877462387085,75,0.01871672727500798,10.107174396514893,1714558578.7844074,0.0018103382992751813,0.04611608588844669,0.020527065574283163
1157,14.727184772491455,76,0.01636282690044893,10.969473838806152,1714558579.6467147,0.001631803561393888,0.043791633654608204,0.01799463046184282
1272,15.677675247192383,77,0.014379206268494928,11.919949769973755,1714558580.5972052,0.0014761553073627713,0.041624741295149995,0.0158553615758577
1400,16.734107494354248,78,0.012670178524017604,12.976365327835083,1714558581.6536374,0.0013386247648832295,0.03957826685140252,0.014008803288900834
1539,17.891444444656372,79,0.011224572122633872,14.133849143981934,1714558582.8109744,0.0012199072999481589,0.037693091007231845,0.012444479422582031
1693,19.17615842819214,80,0.009969256622282003,15.418563842773438,1714558584.0956883,0.0011149291923696224,0.03591864554233644,0.011084185814651626
1863,20.579360008239746,81,0.008879081827420364,16.821861028671265,1714558585.49889,0.001022168236241348,0.034253706843527354,0.009901250063661712
2049,22.104493618011475,82,0.011159312847585643,18.346745014190674,1714558587.0240235,0.0010911042641168942,0.03740650886992664,0.012250417111702537
2254,23.80105495452881,83,0.008179175148779914,20.04334592819214,1714558588.7205849,0.0009379087631687274,0.03299654066137934,0.009117083911948641
2479,25.66398024559021,84,0.007024420916987715,21.906327724456787,1714558590.5835102,0.0008470665329692476,0.03112035899635301,0.007871487449956962
2727,27.704158544540405,85,0.006154911859763761,23.946513175964355,1714558592.6236885,0.0007719419283881988,0.029458689147290155,0.00692685378815196
3000,29.949366807937622,86,0.00545097515105646,26.19157361984253,1714558594.8688967,0.0007100761075810737,0.028015278561817587,0.006161051258637534
3299,32.42985510826111,87,0.004868122025917038,28.672283172607422,1714558597.349385,0.0006582977459700152,0.026750977190714537,0.005526419771887054
3629,35.146801233291626,88,0.004374427582881583,31.389020919799805,1714558600.0663311,0.0006140769404914007,0.025626567374426982,0.004988504523372983
3992,38.13883185386658,89,0.003953939367598828,34.38104033470154,1714558603.0583618,0.0005761259727073367,0.024627393004413082,0.004530065340306165
4391,41.416264057159424,90,0.0035938437569882245,37.658491373062134,1714558606.335794,0.0005432216976707773,0.023737871840154242,0.004137065454659002
4831,45.047558307647705,91,0.0032831229987058904,41.28968381881714,1714558609.9670882,0.0005141535151711267,0.022939805637597007,0.003797276513877017
5314,49.02732253074646,92,0.0031178563621930525,45.26956653594971,1714558613.9468524,0.0004702118102794368,0.02194727429235169,0.0035880681724724892
5845,53.42578649520874,93,0.002835193965819348,49.668063163757324,1714558618.3453164,0.0004517027470409382,0.021366257076914943,0.003286896712860286
6429,58.213491678237915,94,0.0026130235224470556,54.45570087432861,1714558623.1330216,0.0004323553098901686,0.020801565856154565,0.003045378832337224
7072,63.51481652259827,95,0.0024232539401693714,59.757445096969604,1714558628.4343464,0.0004127567141035503,0.02025866104360537,0.002836010654272922
7779,69.37301349639893,96,0.002295056239018358,65.61482405662537,1714558634.2925434,0.0003801920374311846,0.0194570241413213,0.0026752482764495424
8557,75.77591729164124,97,0.0021328828032642386,72.01805400848389,1714558640.6954472,0.00036558394833812347,0.019054122363504393,0.002498466751602362
9413,82.84077286720276,98,0.0019939836859493437,79.08272433280945,1714558647.7603028,0.00034917662842039366,0.018628805068898583,0.0023431603143697372
10354,90.59186959266663,99,0.0018894341852667606,86.8338258266449,1714558655.5113995,0.00032364556286907373,0.01798577927884162,0.0022130797481358343
11389,99.1266598701477,100,0.0017703300147343217,95.36883473396301,1714558664.0461898,0.00031013418958818434,0.01765502942833841,0.002080464204322506
12528,108.55611562728882,101,0.00167927062564029,104.79834246635437,1714558673.4756455,0.0002877931161313108,0.017087551978053332,0.001967063741771601
13781,118.85319137573242,102,0.0020169910359913593,115.09523558616638,1714558683.7727213,0.00033448044128949367,0.01706591242051104,0.002351471477280853
15159,130.2068145275116,103,0.001494858503114173,126.44910860061646,1714558695.1263444,0.00025738203523667855,0.016345010747391708,0.0017522405383508517
16675,142.7606451511383,104,0.0014183575379012382,139.00260829925537,1714558707.680175,0.00023942863315967158,0.015877353362380074,0.0016577861710609099
18342,156.54173684120178,105,0.0013464096188744825,152.7837040424347,1714558721.4612668,0.000222857651543302,0.015430700395536734,0.0015692672704177846
20177,171.6398422718048,106,0.0012600102163974087,167.88200187683105,1714558736.5593722,0.00021736561972018784,0.01537003059820243,0.0014773758361175966
22194,188.24858689308167,107,0.0011917388060676702,184.49055242538452,1714558753.1681168,0.00020455858296601604,0.015024600454585748,0.0013962973890336862
24414,206.54201769828796,108,0.0011259466214032104,202.78416061401367,1714558771.4615476,0.0001929979095510736,0.014715378960762927,0.001318944530954284
26855,226.64235281944275,109,0.0010625448875799708,222.8845899105072,1714558791.5618827,0.00018257420383835778,0.014427516572681395,0.0012451190914183285
29540,248.67752838134766,110,0.0010090986473726955,244.91945958137512,1714558813.5970583,0.0001678935123221243,0.013956420350698903,0.0011769921596948198
32494,272.9735848903656,111,0.0009478259627795652,269.2159495353699,1714558837.8931148,0.00016069913962088694,0.013761240321690418,0.0011085251024004522
35744,299.6559660434723,112,0.0008900266947697997,295.89869832992554,1714558864.575496,0.00015354891097009405,0.013551059543796082,0.0010435756057398937
39318,329.10049772262573,113,0.000839618078836519,325.3427517414093,1714558894.0200276,0.0001433093185667121,0.013194958284850915,0.0009829273974032312
43250,361.44810009002686,114,0.0007844835467030545,357.6900939941406,1714558926.36763,0.000138085070202419,0.013033581716995288,0.0009225686169054734
47575,396.94192695617676,115,0.000736617922671296,393.1839258670807,1714558961.8614569,0.00013255050670825264,0.012916529039120724,0.0008691684293795487
52332,436.0885474681854,116,0.0006854167968841803,432.33041429519653,1714559001.0080774,0.00012517400455094058,0.01256233610402308,0.0008105908014351209
57566,479.1679174900055,117,0.0006382949810518057,475.40976452827454,1714559044.0874474,0.00011919865968946608,0.012324468299516727,0.0007574936407412718
63322,526.3624563217163,118,0.0005929547612597147,522.6045665740967,1714559091.2819862,0.00011301759938189887,0.012058384210103894,0.0007059723606416136
69654,578.4010057449341,119,0.0005491046443506512,574.6429769992828,1714559143.3205357,0.0001065171698436075,0.011755289826566094,0.0006556218141942587
76620,635.5626375675201,120,0.0005062946181933448,631.8048045635223,1714559200.4821675,9.978919668609916e-05,0.011417928686867774,0.000606083814879444
84281,698.4573950767517,121,0.0004642385698021871,694.6994905471802,1714559263.376925,9.280232236324784e-05,0.011042786508477079,0.0005570408921654349
92710,767.6547815799713,122,0.00042266052419632,763.8969419002533,1714559332.5743115,8.547700258305121e-05,0.010622978872729245,0.0005081375267793713
101980,843.9274189472198,123,0.00038134885844306814,840.1695332527161,1714559408.8469489,7.773488080289724e-05,0.010150379167293626,0.0004590837392459654
112178,927.6902945041656,124,0.00034017208466812247,923.9321956634521,1714559492.6098244,6.953263756376972e-05,0.009617224427537738,0.0004097047222318922
123396,1019.8324906826019,125,0.00029936339908842656,1016.0744116306305,1714559584.7520206,6.093565752291846e-05,0.00902061486874148,0.000360299056611345
135736,1121.493418931961,126,0.00025990698611071795,1117.735261440277,1714559686.4129488,5.2185163205013525e-05,0.008367563014804031,0.00031209214931573147
149309,1233.5409939289093,127,0.00022383453910660247,1229.7828018665314,1714559798.4605238,4.3727844644444213e-05,0.007679355385405033,0.00026756238375104667
164240,1356.3328502178192,128,0.00019354100858757082,1352.5747845172882,1714559921.2523801,3.615281226031706e-05,0.006994702128729352,0.00022969382084788787
180664,1491.6092357635498,129,0.0001699496736776042,1487.851098060608,1714560056.5287657,2.99830975565503e-05,0.00636693668798753,0.0001999327712341545
198731,1640.0107872486115,130,0.0001518074092588719,1636.2528035640717,1714560204.9303172,2.5355936377580668e-05,0.005836691785972665,0.00017716334563645255
218604,1803.169800043106,131,0.00013722041905148952,1799.4116587638855,1714560368.08933,2.1997510261167716e-05,0.005407467751731352,0.00015921792931265723
240464,1982.8113861083984,132,0.0001248761296691246,1979.053265094757,1714560547.730916,1.951507681124617e-05,0.00505861507404173,0.00014439120648037076
264510,2180.2625007629395,133,0.00011407137235552094,2176.5044827461243,1714560745.1820307,1.7601488891906897e-05,0.004767768779390279,0.00013167286124742784
290961,2397.479801416397,134,0.00010443403237720713,2393.7215988636017,1714560962.3993313,1.6060684281135002e-05,0.004518960359311835,0.00012049471665834213
320057,2636.396292924881,135,9.574870234341532e-05,2632.6383080482483,1714561201.3158228,1.4772740925601009e-05,0.004301806985098456,0.00011052144326901634
352063,2898.858131170273,136,8.807675645982527e-05,2895.1002807617188,1714561463.777661,1.3530529394887454e-05,0.004088214460217621,0.00010160728585471272
364835,3003.7619400024414,137,8.534632525166933e-05,3000.004064321518,1714561568.68147,1.3159050275441952e-05,0.004022855141043546,9.850537552711129e-05
