step,_step,loss,_runtime,time,l2_error,loss_interior,loss_boundary,_timestamp
0,0,122.15818880472638,67.1027889251709,62.99777817726135,1.5804355603057356,120.66585864667057,1.492330158055808,1713987746.886497
1,1,121.935586942031,126.25814199447632,122.39658284187317,1.5816226033485254,120.45229297898256,1.483293963048442,1713987806.04185
2,2,121.72784589721248,185.48338532447815,181.62188696861267,1.5645391613123172,120.23936048715782,1.4884854100546463,1713987865.2670934
3,3,121.23477138491336,246.51515412330627,242.65353798866272,1.5665963674119483,119.78506843550024,1.4497029494131222,1713987926.2988622
4,4,117.39744822734257,304.94143414497375,301.0794720649719,2.252091233998604,115.935273865239,1.462174362103566,1713987984.7251422
5,5,100.73840307397377,365.95387625694275,362.08943223953247,2.3093675238295,98.01092842464463,2.7274746493291397,1713988045.7375844
6,6,96.06868868856142,425.0340955257416,421.17247200012207,1.407222659777669,93.24327357005667,2.8254151185047522,1713988104.8178036
7,7,64.35521971482805,484.3395450115204,480.47805857658386,1.1423533443900231,63.1646697037523,1.190550011075754,1713988164.123253
8,8,34.99776168016768,543.0631914138794,539.201221704483,0.9126214030551603,34.24284492692779,0.7549167532398866,1713988222.8468995
9,9,19.15043396408862,602.2213160991669,598.3595988750458,0.44535080255311466,18.632747495008466,0.5176864690801549,1713988282.0050242
10,10,5.788804100882738,661.2286424636841,657.3666496276855,0.3105091985002329,5.659293625699068,0.1295104751836703,1713988341.0123506
11,11,1.611366990949149,720.5980656147003,716.7367901802063,0.13469124553830772,1.5529015234837293,0.05846546746541973,1713988400.3817737
12,12,0.08218122092881071,780.5790009498596,776.7178244590759,0.06627631987698931,0.07016766160598774,0.012013559322822966,1713988460.362709
13,13,0.02592704459095368,840.17950963974,836.3184432983398,0.03558542840855321,0.023068110494803847,0.0028589340961498355,1713988519.9632177
14,14,0.010752747223364655,900.0117449760437,896.1503627300262,0.017762609516448768,0.009939547137838725,0.0008132000855259298,1713988579.795453
16,15,0.00103784591884603,1021.5973970890045,1017.7352297306061,0.00534593362786065,0.000996105692487409,4.174022635862114e-05,1713988701.3811052
17,16,4.6051204259600767e-05,1083.3769507408142,1079.5144755840302,0.0005576984783371745,3.1331229488013305e-05,1.4719974771587462e-05,1713988763.1606588
18,17,8.728443750019273e-07,1143.797039270401,1139.934945821762,0.0002126497226753502,6.888903140576027e-07,1.839540609443246e-07,1713988823.5807474
20,18,1.0095535399494612e-08,1266.7221810817719,1262.8609783649445,0.00019164164276758142,7.1149603796434335e-09,2.9805750198511784e-09,1713988946.5058892
21,19,1.0063116868107027e-08,1325.2212607860565,1321.3593277931213,0.00019162582352349723,7.097910250142831e-09,2.9652066179641958e-09,1713989005.004969
23,20,1.0061401780593839e-08,1447.149700641632,1443.2875428199768,0.00019158992380470432,7.096833669366006e-09,2.9645681112278333e-09,1713989126.9334087
24,21,1.0060808589265542e-08,1506.1260092258453,1502.2641096115112,0.00019158755581757164,7.095688598113549e-09,2.9651199911519933e-09,1713989185.9097173
26,22,1.0060543806720608e-08,1625.1110706329346,1621.2493407726288,0.00019158738540671106,7.095621990946597e-09,2.9649218157740107e-09,1713989304.8947787
28,23,1.0060302866465977e-08,1742.5188319683075,1738.6570434570312,0.00019157624802742395,7.095349978795647e-09,2.9649528876703302e-09,1713989422.30254
31,24,1.0059958878542249e-08,1923.9795761108398,1920.118025302887,0.00019157653958428136,7.09572591350122e-09,2.9642329650410287e-09,1713989603.7632842
33,25,1.0059815550550406e-08,2046.9481451511383,2043.0861995220184,0.00019156647022768183,7.09548117050821e-09,2.964334380042196e-09,1713989726.7318532
35,26,1.00597331653476e-08,2165.387264728546,2161.5246024131775,0.00019157319728961222,7.095377195397892e-09,2.9643559699497086e-09,1713989845.1709728
38,27,1.0059171602828666e-08,2347.1671857833862,2343.305330514908,0.00019157639573679763,7.094848217160971e-09,2.9643233856676944e-09,1713990026.9508939
41,28,1.0058565363702502e-08,2528.828203678131,2524.966150045395,0.00019157393051287354,7.094722731540738e-09,2.9638426321617636e-09,1713990208.6119118
44,29,1.0057883678981657e-08,2710.515022754669,2706.653217315674,0.00019154346025198574,7.093783249646958e-09,2.9641004293346992e-09,1713990390.2987309
48,30,1.0057031753785612e-08,2951.2443776130676,2947.3822717666626,0.0001915455258172749,7.093718886133667e-09,2.9633128676519444e-09,1713990631.0280857
51,31,1.0056242597295009e-08,3130.552136659622,3126.690847635269,0.00019153412203776248,7.09315859198665e-09,2.963084005308358e-09,1713990810.3358448
55,32,1.0055624160875662e-08,3367.515395641327,3363.6535563468933,0.00019152419630992143,7.092942100031262e-09,2.9626820608444013e-09,1713991047.2991037
59,33,1.0055324092112306e-08,3608.1836426258087,3604.31719827652,0.00019152523521644526,7.092958674909204e-09,2.9623654172031016e-09,1713991287.9673507
64,34,1.0055052691884172e-08,3909.369077682495,3905.507095813751,0.00019152635143923077,7.093399668458913e-09,2.9616530234252588e-09,1713991589.1527858
