_step,loss_interior,_timestamp,loss_boundary,loss,step,l2_error,time,_runtime
0,120.66585864667057,1713953555.1207721,1.492330158055808,122.15818880472638,0,1.3631866783325692,1.2313511371612549,5.306312084197998
1,81.9712115183696,1713953555.4122171,0.9919920060639599,82.96320352443357,1,0.5273572027556572,1.8553357124328613,5.59775710105896
2,33.86196972858732,1713953555.746373,0.21274664317919884,34.07471637176652,2,1.7411802347288128,2.189521312713623,5.931912899017334
3,9.172311076978298,1713953556.1358557,2.0703326944881293,11.242643771466428,3,1.8225947575907822,2.5784904956817627,6.321395635604858
4,3.075374779860324,1713953556.5913064,2.1995719818195902,5.274946761679914,4,0.482463385218836,3.032625198364258,6.776846408843994
5,1.154350384307254,1713953557.099872,0.16866409918729477,1.3230144834945488,5,0.15162438893441946,3.5429279804229736,7.285412073135376
6,0.29266680184296756,1713953557.658439,0.01662927178508655,0.3092960736280541,6,0.08939821987594583,4.10139274597168,7.8439788818359375
7,0.1115472651345442,1713953558.280565,0.007130820569380251,0.11867808570392445,7,0.07306812919663505,4.723257064819336,8.466104984283447
8,0.059855965764882585,1713953558.9607296,0.004503187422610149,0.06435915318749273,8,0.06972968697956503,5.40343165397644,9.14626955986023
9,0.037661274864623215,1713953559.6810036,0.0039407270201774905,0.041602001884800704,9,0.0695721777543917,6.123633861541748,9.866543531417847
10,0.024895051474585674,1713953560.3897536,0.004191282905982677,0.029086334380568353,10,0.05643394858332542,6.832059621810913,10.57529354095459
11,0.017412871825423604,1713953561.1003652,0.0026760899561145248,0.02008896178153813,11,0.04658827660730622,7.541517019271851,11.285905122756958
12,0.014416643678515344,1713953561.8224683,0.0017416787191560017,0.016158322397671347,12,0.042610513464606294,8.264934778213501,12.008008241653442
13,0.012040659300917352,1713953562.52751,0.0014570769230564848,0.013497736223973838,13,0.039707435497091256,8.969810485839844,12.71304988861084
14,0.010126962053581821,1713953563.2416947,0.0012764621305430452,0.011403424184124867,14,0.03546786987948105,9.684116125106812,13.427234649658203
15,0.00836472442761878,1713953564.6699772,0.0008329093688173653,0.009197633796436145,16,0.02915651367576998,11.112444877624512,14.855517148971558
16,0.007638526097815749,1713953565.374418,0.0007958532574787858,0.008434379355294536,17,0.030104562433587178,11.81671142578125,15.55995798110962
17,0.006708932391391639,1713953566.0841632,0.0008190327347873714,0.00752796512617901,18,0.025059215224134807,12.526550769805908,16.269703149795532
18,0.005569789751408519,1713953567.5115504,0.0006107998139350193,0.006180589565343539,20,0.024286741860935598,13.953997135162354,17.69709038734436
19,0.005067365537051766,1713953568.2359326,0.0006051953936124197,0.005672560930664186,21,0.02420849347213666,14.678288698196411,18.421472549438477
20,0.004288801654895276,1713953569.6636946,0.0006163466510970457,0.0049051483059923216,23,0.02406617556380822,16.105940341949463,19.849234580993652
21,0.003950395041179971,1713953570.3672976,0.000592413183490642,0.004542808224670613,24,0.024152361215865965,16.80987811088562,20.55283761024475
22,0.003164619588447938,1713953571.7799723,0.0006237439427244871,0.003788363531172425,26,0.024260221787743747,18.222391605377197,21.9655122756958
23,0.0027535457320504216,1713953573.1735234,0.0005393591770587706,0.003292904909109192,28,0.022360672365994236,19.616094827651978,23.359063386917114
24,0.0022867938685838174,1713953575.2700915,0.00045207150876413506,0.0027388653773479524,31,0.020011802681647227,21.712586402893066,25.455631494522095
25,0.002064692396907092,1713953576.7015417,0.0003920283980104347,0.0024567207949175267,33,0.01979857250840439,23.143885374069214,26.887081623077393
26,0.001879206951458635,1713953578.1274443,0.00033844882354857854,0.0022176557750072136,35,0.017978539586767758,24.569664239883423,28.312984228134155
27,0.0015046684457344433,1713953580.2789938,0.0003372779875625369,0.0018419464332969802,38,0.01954388259353126,26.72069001197815,30.464533805847168
