step,_step,l2_error,time,_runtime,loss,_timestamp,loss_boundary,loss_interior
0,0,0.2067313310579421,2.0264370441436768,8.438149213790894,0.13810716338990703,1715507760.0116942,0.12139445906753432,0.016712704322372693
1,1,0.19103346505953162,3.339714527130127,8.517873287200928,0.08465579995587781,1715507760.0914183,0.07880564916664656,0.00585015078923125
2,2,0.17459065961112524,3.402967691421509,8.581077575683594,0.08261168144787083,1715507760.1546226,0.07091988382144869,0.011691797626422135
3,3,0.1734679355050755,3.4628021717071533,8.640949964523315,0.0575787311584132,1715507760.214495,0.05443078441775544,0.003147946740657764
4,4,0.16365644185889056,3.521383285522461,8.701494932174683,0.05241994917505041,1715507760.27504,0.05045648021388796,0.00196346896116245
5,5,0.14087101180147096,3.5858535766601562,8.763918399810791,0.050114894934158064,1715507760.3374634,0.04822233895653967,0.0018925559776183912
6,6,0.1338196781021706,3.6449244022369385,8.823012590408325,0.0430071896801898,1715507760.3965576,0.042006112556842216,0.0010010771233475856
7,7,0.13289333897502037,3.7069311141967773,8.885029315948486,0.04031435986009813,1715507760.4585743,0.038464693218989536,0.0018496666411085972
8,8,0.13284571744585383,3.7691283226013184,8.947205066680908,0.04005607830496295,1715507760.52075,0.03749352785540984,0.0025625504495531116
9,9,0.13362833257319723,3.8314688205718994,9.00955319404602,0.04004818706278208,1715507760.5830982,0.03743109344834483,0.002617093614437245
10,10,0.13483686018283866,3.891389846801758,9.069563388824463,0.03992923466299836,1715507760.6431084,0.03720503136439497,0.0027242032986033882
11,11,0.13501851487081137,3.9491939544677734,9.127262115478516,0.03989970093895646,1715507760.700807,0.037154638876410045,0.002745062062546415
12,12,0.13691383367268942,4.005331993103027,9.183438777923584,0.0398990966948321,1715507760.7569838,0.03715255919091234,0.002746537503919755
13,13,0.13719712209298723,4.061126470565796,9.239181756973267,0.0398771901541522,1715507760.8127267,0.03712809723227283,0.0027490929218793644
14,14,0.13775867647242068,4.12075138092041,9.298823118209839,0.03987605765347785,1715507760.872368,0.037123075061921355,0.0027529825915564936
15,15,0.13902701979928855,4.183269739151001,9.361315727233887,0.03986984485460243,1715507760.9348607,0.03711569387076142,0.002754150983841009
16,16,0.14043412961543916,4.2447638511657715,9.422850608825684,0.03984616182598145,1715507760.9963956,0.037129188889112055,0.0027169729368693957
17,17,0.14077541201667948,4.305150270462036,9.483191728591919,0.03982774205090473,1715507761.0567367,0.0371906062179061,0.0026371358329986346
18,18,0.14374512102060444,4.360395669937134,9.538443326950073,0.03982500712358863,1715507761.1119883,0.03721212153100016,0.0026128855925884637
19,19,0.1454073817007683,4.415866136550903,9.59395432472229,0.03974339662298081,1715507761.1674993,0.03752575798260952,0.0022176386403712943
20,20,0.1456000373868217,4.472074508666992,9.6502206325531,0.03971701664757496,1715507761.2237656,0.03777377800779371,0.0019432386397812468
21,21,0.14577007111270557,4.527306079864502,9.705349922180176,0.03971610808933287,1715507761.278895,0.037804860739399315,0.0019112473499335522
22,22,0.14608694704633762,4.581967115402222,9.760010719299316,0.03971492807366655,1715507761.3335557,0.037831623268886345,0.0018833048047802025
23,23,0.15168556930976565,4.636832237243652,9.814935684204102,0.0397125759833204,1715507761.3884807,0.03787882345104398,0.0018337525322764162
24,24,0.15212403655028994,4.6969006061553955,9.874970436096191,0.03924082579962131,1715507761.4485154,0.0383911498138888,0.0008496759857325004
25,25,0.15216289088223794,4.752798557281494,9.930858850479126,0.039217035993364686,1715507761.5044038,0.038359347659214865,0.0008576883341498196
26,26,0.15135849432265983,4.812261581420898,9.99035358428955,0.039216758082559484,1715507761.5638986,0.03835353728378479,0.0008632207987746973
27,27,0.14085012754852527,4.872255802154541,10.05037260055542,0.03920333545905574,1715507761.6239176,0.03781712243721023,0.0013862130218455077
28,28,0.13294521409630344,4.932175636291504,10.11027455329895,0.0388967953347053,1715507761.6838195,0.034968898829921304,0.003927896504784001
29,29,0.13294521409630344,4.992640018463135,10.170767784118652,0.038778061118660764,1715507761.7443128,0.033056656024127974,0.005721405094532789
30,30,0.1259758185657818,5.048869609832764,10.22698974609375,0.038778061118660764,1715507761.8005347,0.033056656024127974,0.005721405094532789
31,31,0.09904715540834629,5.111175298690796,10.289258480072021,0.03874082663516919,1715507761.8628035,0.03150817306457244,0.0072326535705967525
