loss,time,loss_boundary,_timestamp,l2_error,loss_interior,step,_step,_runtime
48.799294749915575,48.661842823028564,0.006179260679215324,1714532108.3513753,0.3486028754031316,48.79311548923636,0,0,53.1505172252655
44.275543002114404,93.65266108512878,0.07245725667582953,1714532152.9558818,0.9148784489944991,44.20308574543857,1,1,97.75502371788025
34.04278679028698,133.2708191871643,0.2665100508591026,1714532192.5728686,1.1976081715644664,33.77627673942788,2,2,137.37201046943665
21.043711376646353,176.16163206100464,1.038464078869436,1714532235.4639316,1.2533376911494614,20.00524729777692,3,3,180.26307344436646
10.879318918094674,216.6307647228241,0.7261128234344817,1714532275.934274,2.95284105184573,10.153206094660192,4,4,220.73341584205627
7.1500824181430165,257.7814133167267,4.386825845737324,1714532317.0835516,1.4110651503291491,2.763256572405693,5,5,261.882693529129
2.007248730727364,295.66437292099,0.9514926847738449,1714532354.9667048,1.2213110392243691,1.0557560459535194,6,6,299.76584672927856
1.5672570379011481,337.87848567962646,0.7094643837803951,1714532397.1808538,0.48802405427029316,0.857792654120753,7,7,341.97999572753906
0.30038821152271933,381.5417814254761,0.10940883393506592,1714532440.8442035,0.11748510733973257,0.19097937758765343,8,8,385.64334535598755
0.02350643141224711,424.50433135032654,0.0072347970982164595,1714532483.8064787,0.04100872468740618,0.01627163431403065,9,9,428.6056206226349
0.002685723715433508,465.05423974990845,0.0008788658130796911,1714532524.3569067,0.0033914217956214046,0.0018068579023538171,10,10,469.15604853630066
7.740026268918248e-05,508.2045955657959,9.91265127221884e-06,1714532567.508111,0.0009783705052735254,6.748761141696365e-05,11,11,512.3072528839111
9.664037715187033e-06,550.4462125301361,1.022499831371501e-06,1714532609.748741,0.0006274543468483625,8.641537883815532e-06,12,12,554.5478827953339
1.5472477810459225e-06,589.7529680728912,2.580111181910156e-07,1714532649.0552166,0.0006405599264141374,1.2892366628549068e-06,13,13,593.8543584346771
5.774439265119601e-07,630.4123678207397,2.0923241741497077e-07,1714532689.7159512,0.0005251129458585928,3.682115090969894e-07,14,14,634.51509308815
3.6032253249059477e-07,675.9580054283142,1.411177408062448e-07,1714532735.2603476,0.0004377436559998524,2.1920479168435e-07,15,15,680.0594894886017
2.3677798178379197e-07,715.7015919685364,9.902557730098564e-08,1714532775.00391,0.00037060808329784304,1.3775240448280633e-07,16,16,719.8030519485474
1.6352439222433829e-07,759.4876756668091,7.209451790644895e-08,1714532818.7904,0.0003181908089018655,9.142987431788932e-08,17,17,763.5895419120789
1.1815518626086908e-07,804.029509305954,5.426229820936095e-08,1714532863.3317,0.0002765975027511593,6.389288805150813e-08,18,18,808.1308419704437
8.880414037411276e-08,847.353307723999,4.2060006962005166e-08,1714532906.65569,0.00024306482369901205,4.6744133412107586e-08,19,19,851.4548318386078
6.901444261182055e-08,890.5090911388397,3.345010420302894e-08,1714532949.8114805,0.00021561743639474058,3.556433840879162e-08,20,20,894.6106224060059
5.516199116044429e-08,931.6171689033508,2.720256594395009e-08,1714532990.919465,0.00019283172218583611,2.7959425216494195e-08,21,21,935.7186069488525
4.5142027467085427e-08,971.6628663539886,2.255414585917784e-08,1714533030.965134,0.00017367010665213846,2.2587881607907584e-08,22,22,975.7642757892609
3.7687207786702193e-08,1013.2302575111389,1.9017834261838423e-08,1714533072.5323584,0.00015736973853863075,1.866937352486377e-08,23,23,1017.3315002918243
