step,_step,loss,_runtime,time,l2_error,loss_interior,loss_boundary,_timestamp
0,0,124.79941088089237,5.2958762645721436,1.0762782096862793,1.5894177018785272,123.25134859863059,1.5480622822617889,1715595500.7348483
1,1,124.51690138469431,5.326208829879761,1.393829584121704,1.5834521842576954,122.93165663408456,1.5852447506097507,1715595500.7651808
2,2,119.06843164055431,5.354105234146118,1.4223530292510986,1.5778391295205092,117.42236523002427,1.6460664105300342,1715595500.7930772
3,3,121.32158653337487,5.386629819869995,1.4543640613555908,1.5720832912698854,119.80449420813973,1.517092325235142,1715595500.8256018
4,4,123.58663010298935,5.410427570343018,1.4769363403320312,1.566206859241995,122.10659712352974,1.4800329794596063,1715595500.8493996
5,5,122.10772938511735,5.43489933013916,1.502687692642212,1.5601459915022116,120.65783436308124,1.449895022036112,1715595500.8738713
6,6,126.50817780863449,5.46267294883728,1.530325174331665,1.5538001272044517,125.03635177983108,1.471826028803408,1715595500.901645
7,7,122.8139342808236,5.490086317062378,1.5578243732452393,1.5469876539392342,121.30058973727674,1.5133445435468706,1715595500.9290583
8,8,120.80327421675112,5.5236310958862305,1.5857727527618408,1.539647390973994,119.35450087589678,1.4487733408543382,1715595500.962603
9,9,116.47049478579068,5.5535664558410645,1.6201491355895996,1.5316480698808896,115.04725899121644,1.423235794574234,1715595500.9925385
10,10,123.87487795634922,5.581941366195679,1.6492247581481934,1.5228297153797492,122.49722484451271,1.3776531118365039,1715595501.0209134
11,11,121.74664203974667,5.610918045043945,1.678220510482788,1.5131209078364831,120.43405091582127,1.312591123925396,1715595501.04989
12,12,119.5820992504429,5.637946605682373,1.707024335861206,1.5024364676029447,118.25926542691913,1.3228338235237724,1715595501.0769186
13,13,122.28003339367818,5.664804935455322,1.7336912155151367,1.490744645378581,120.98961066073264,1.2904227329455373,1715595501.103777
14,14,125.78173951725184,5.692358493804932,1.7613472938537598,1.4779016738060302,124.40048813114207,1.38125138610977,1715595501.1313305
15,15,124.36153085936506,5.7210376262664795,1.7902369499206543,1.4638084162203366,123.05324600540128,1.3082848539637864,1715595501.1600096
16,16,122.71276924696197,5.752819776535034,1.8181829452514648,1.4482569717547433,121.47798215663066,1.234787090331316,1715595501.1917918
17,17,122.17021183134752,5.780959606170654,1.8503522872924805,1.4310961654360501,121.03921955770045,1.1309922736470668,1715595501.2199316
18,18,120.09245238046934,5.809089422225952,1.8784122467041016,1.412200894983059,118.97046121934594,1.1219911611234086,1715595501.2480614
19,19,120.79252934783808,5.836400747299194,1.9055848121643066,1.3914489984280687,119.76991767991719,1.0226116679208963,1715595501.2753727
20,20,117.07560198120521,5.864216089248657,1.9336481094360352,1.368501293728415,115.97664710994589,1.0989548712593296,1715595501.303188
21,21,114.35789959725548,5.892065763473511,1.961393117904663,1.3433442480176718,113.25794995127453,1.0999496459809603,1715595501.3310378
22,22,117.37730779632894,5.919923782348633,1.989206075668335,1.3157084281814233,116.3260462103907,1.0512615859382286,1715595501.3588958
23,23,116.28609994502823,5.947737455368042,2.0172033309936523,1.285420381706769,115.22053974587143,1.0655601991567971,1715595501.3867095
24,24,115.1973618259076,5.974492073059082,2.043860673904419,1.2523649902278762,114.22419362920984,0.9731681966977658,1715595501.413464
25,25,114.02393410786023,6.000488042831421,2.06986403465271,1.2168548010177065,113.108818469976,0.9151156378842309,1715595501.43946
26,26,116.27682570923217,6.0396435260772705,2.10982346534729,1.1784537111071163,115.43378248574108,0.8430432234910948,1715595501.4786155
27,27,113.99702105944107,6.065718650817871,2.1348867416381836,1.1370676955421641,113.2702108629984,0.7268101964426755,1715595501.5046906
28,28,109.16895841723988,6.093057632446289,2.1624505519866943,1.0928680565827331,108.45572343811969,0.7132349791201807,1715595501.5320296
29,29,105.96652630611163,6.120223760604858,2.1896674633026123,1.0463613329562107,105.28109669872299,0.6854296073886358,1715595501.5591958
30,30,102.65365718346558,6.147304058074951,2.2167165279388428,0.9982415330255004,101.96632236058736,0.687334822878232,1715595501.586276
31,31,97.3901309646008,6.174358129501343,2.2435476779937744,0.9491115418215189,96.83494194679784,0.5551890178029582,1715595501.6133301
