step,time,_runtime,l2_error,_step,_timestamp,loss_interior,loss_boundary,loss
0,1.2975425720214844,5.563939332962036,1.5874879927323373,0,1714579994.7340562,120.68336010396533,1.5021347655867303,122.18549486955206
1,1.5349090099334717,5.582526445388794,1.5860425608617352,1,1714579994.7526433,120.67407672152076,1.5005739405197844,122.17465066204055
2,1.552164077758789,5.599806785583496,1.584017491340809,2,1714579994.7699237,120.65670481391444,1.4976447894653546,122.1543496033798
3,1.5755794048309326,5.623326063156128,1.5815052876373557,3,1714579994.793443,120.63249419825627,1.4935461933176117,122.12604039157388
4,1.590315341949463,5.639451503753662,1.5785892575042326,4,1714579994.8095684,120.60263544555028,1.4884702133233885,122.09110565887366
5,1.6051702499389648,5.6547088623046875,1.5753390005008523,5,1714579994.8248258,120.56816060525504,1.4825904083994668,122.0507510136545
6,1.6203334331512451,5.669956922531128,1.5718069786649411,6,1714579994.8400738,120.52986684291581,1.4760524674306117,122.00591931034641
7,1.6362271308898926,5.685404300689697,1.568026050043915,7,1714579994.8555212,120.48826371700902,1.4689673390068436,121.95723105601586
8,1.6522760391235352,5.700650215148926,1.5640077049539085,8,1714579994.870767,120.44353948374864,1.4614065745021436,121.90494605825079
9,1.6662003993988037,5.715764999389648,1.5597406667967222,9,1714579994.885882,120.39553857333442,1.4533993039431652,121.84893787727759
10,1.6813335418701172,5.732806921005249,1.5551894801854058,10,1714579994.9029238,120.34374075773526,1.4449301134402734,121.78867087117554
11,1.6986083984375,5.748103857040405,1.5502926822887633,11,1714579994.9182208,120.28723171064766,1.4359370379472367,121.7231687485949
12,1.7142665386199951,5.763490200042725,1.5449601118905383,12,1714579994.933607,120.22465370117283,1.4263088665744663,121.6509625677473
13,1.7296867370605469,5.778929710388184,1.5390688269282544,13,1714579994.9490466,120.1541230567547,1.4158809254394522,121.57000398219415
14,1.7455012798309326,5.794612407684326,1.532456940964046,14,1714579994.9647293,120.07309657728152,1.4044284048015794,121.4775249820831
15,1.7612061500549316,5.809199810028076,1.5249143995101977,15,1714579994.9793167,119.97816052372202,1.3916560791390655,121.36981660286109
16,1.7756800651550293,5.823030471801758,1.5161692039632473,16,1714579994.9931474,119.8647000934776,1.377182857505405,121.241882950983
17,1.7895703315734863,5.836728096008301,1.5058666686771551,17,1714579995.006845,119.72637860923226,1.3605188748936596,121.08689748412591
18,1.8031196594238281,5.850330352783203,1.4935375780201672,18,1714579995.0204473,119.55430220972224,1.341031566455136,120.89533377617737
19,1.816359519958496,5.863490343093872,1.4785477402340388,19,1714579995.0336072,119.33564261564882,1.3178949062492824,120.6535375218981
20,1.8296904563903809,5.876894235610962,1.4600144255020082,20,1714579995.0470111,119.05128151953201,1.290011813105533,120.34129333263755
21,1.8430662155151367,5.890427589416504,1.4366596751979903,21,1714579995.0605445,118.67159207599268,1.2558916495179928,119.92748372551067
22,1.8566539287567139,5.903911828994751,1.4065341976029935,22,1714579995.0740287,118.14844652388986,1.2134485027592197,119.36189502664908
23,1.8698680400848389,5.91703987121582,1.3664572822691488,23,1714579995.0871568,117.39900084827953,1.1596528020737802,118.5586536503533
24,1.8827998638153076,5.930059909820557,1.310805926434603,24,1714579995.1001768,116.26996713132911,1.089905260894198,117.35987239222331
25,1.8959550857543945,5.9462666511535645,1.2288807393261445,25,1714579995.1163836,114.45087770092316,0.9969223036954686,115.44780000461863
26,1.9120891094207764,5.9593071937561035,1.1006380483485754,26,1714579995.129424,111.24009577364308,0.8691755631523468,112.10927133679543
27,1.9254987239837646,5.972775936126709,0.9105708730836211,27,1714579995.1428928,104.85892005886893,0.6925318530111472,105.55145191188008
28,1.9384009838104248,5.98564076423645,0.8830699472644742,28,1714579995.1557577,90.61703939748392,0.4862934502758958,91.10333284775982
29,1.950998306274414,5.998366594314575,1.5700617904490146,29,1714579995.1684835,61.705285390857334,0.5267140648374643,62.2319994556948
30,1.9635162353515625,6.011135816574097,3.4027077669722967,30,1714579995.1812527,81.37115304924065,1.6023011361004726,82.97345418534113
