step,_step,loss,_runtime,time,l2_error,loss_interior,loss_boundary,_timestamp
0,0,0.10313500670145485,2.2587411403656006,1.1849370002746582,0.24928249007147474,0.0009206967623794066,0.10221430993907545,1729898754.53448
1,1,0.10135916022750986,2.6059913635253906,1.793473482131958,0.2657431265391558,0.004445841832438301,0.09691331839507156,1729898754.8817303
2,2,0.09914384415893598,2.8934454917907715,2.081251382827759,0.3182049173734889,0.002056452661819518,0.09708739149711647,1729898755.1691844
3,3,0.09705126611428225,3.2900662422180176,2.4778425693511963,0.28457487571469353,0.0011466365061388742,0.09590462960814337,1729898755.5658052
4,4,0.08665722120321084,3.8449912071228027,3.032740592956543,0.1506401807257031,0.029107442169132157,0.05754977903407868,1729898756.1207302
5,5,0.05964442477397486,4.420822381973267,3.608513355255127,0.034888778294180765,0.03314279973009461,0.02650162504388025,1729898756.6965613
6,6,0.00769073854699407,5.144021034240723,4.331729412078857,0.02487108408944951,0.0054198470526456155,0.0022708914943484542,1729898757.41976
7,7,0.0026909564414118407,5.78051233291626,4.968232154846191,0.02148973903188526,0.001757127536033602,0.0009338289053782384,1729898758.0562513
8,8,0.0005723784133579403,6.596726655960083,5.784439563751221,0.002246201321114548,0.00037034053995983925,0.00020203787339810112,1729898758.8724656
9,9,7.34341420170262e-05,7.531119346618652,6.718824625015259,0.001212949255293955,7.027160543097469e-05,3.1625365860515163e-06,1729898759.8068583
10,10,7.591978377067149e-06,8.412831783294678,7.600519180297852,0.0006898516879852798,6.043736536448713e-06,1.548241840618436e-06,1729898760.6885707
11,11,4.639905317641228e-06,9.830974578857422,9.01867413520813,0.0005096797972080101,3.855949959222973e-06,7.839553584182542e-07,1729898762.1067135
12,12,1.642323739953286e-06,11.369370698928833,10.557068586349487,0.0004535320642798403,1.300931526630458e-06,3.41392213322828e-07,1729898763.6451097
13,13,9.102448657477445e-07,13.123322248458862,12.310966968536377,0.00046640331170081425,7.213885687120095e-07,1.88856297035735e-07,1729898765.3990612
14,14,7.764569712461648e-07,14.47326374053955,13.66091275215149,0.0004434928014082962,6.410796686953231e-07,1.3537730255084166e-07,1729898766.7490027
15,15,6.082937898087046e-07,15.535874366760254,14.72354769706726,0.00037110008324051314,5.259523964452491e-07,8.234139336345545e-08,1729898767.8116133
16,16,5.889319981607438e-07,16.392629384994507,15.580315351486206,0.0002441703436518678,5.255570714577549e-07,6.33749267029889e-08,1729898768.6683683
17,17,5.236108618701249e-07,18.044822216033936,17.232522010803223,0.0002545516953488644,4.7358357632131415e-07,5.0027285548810755e-08,1729898770.3205612
18,18,4.902917598401732e-07,19.160215139389038,18.347673177719116,0.0005160018040821722,4.433027976487007e-07,4.69889621914725e-08,1729898771.435954
19,19,4.6498858113564076e-07,19.970858097076416,19.158594131469727,0.0005327738566524193,3.352007631035646e-07,1.2978781803207613e-07,1729898772.246597
20,20,3.538522584655084e-07,21.97233748435974,21.160005807876587,0.00036513720378845337,2.0168012809912756e-07,1.521721303663808e-07,1729898774.2480764
