step,_step,loss,_runtime,time,l2_error,loss_interior,loss_boundary,_timestamp
0,0,0.14108229717860596,1.995891809463501,1.2217235565185547,0.24195331274314488,0.00033384008246040104,0.14074845709614556,1729901663.4443119
1,1,0.08037391419738754,2.363554000854492,1.8360650539398193,0.2549115880493063,8.737873550362846e-05,0.08028653546188391,1729901663.811974
2,2,0.07592531415119462,2.7733333110809326,2.2459826469421387,0.13758730289164173,0.0011432654764958246,0.0747820486746988,1729901664.2217534
3,3,0.029928947490446247,3.3334219455718994,2.8060836791992188,0.13713021863379757,0.008168250618410412,0.021760696872035835,1729901664.781842
4,4,0.025586896600690315,4.027266263961792,3.499783515930176,0.04819164755363738,0.010317437249490994,0.01526945935119932,1729901665.4756863
5,5,0.01680699188394983,4.766253471374512,4.238823413848877,0.05574132974320103,0.011782158493904633,0.005024833390045196,1729901666.2146735
6,6,0.00924507137158892,5.721799373626709,5.194326877593994,0.03381470427438696,0.006271405586501134,0.002973665785087787,1729901667.1702194
7,7,0.0054677690500312785,6.695083379745483,6.167543888092041,0.04010123386238275,0.003872483240708454,0.0015952858093228248,1729901668.1435034
8,8,0.0037302548591999778,7.606072425842285,7.078568935394287,0.012591100214510832,0.0022584302793425674,0.0014718245798574104,1729901669.0544925
9,9,0.0004678455408789569,8.590435981750488,8.062906742095947,0.00534890475337586,0.00035745012322671907,0.00011039541765223784,1729901670.038856
10,10,0.0003004581288054939,9.818289518356323,9.290700674057007,0.005089218339252278,0.00025670590217879535,4.3752226626698545e-05,1729901671.2667096
11,11,0.00019849745263228957,11.026538610458374,10.49892807006836,0.004435495587205338,0.00012466391974724436,7.383353288504522e-05,1729901672.4749587
12,12,0.00016759021045428677,12.13509202003479,11.607475519180298,0.003720838119015761,0.000148915181954926,1.867502849936075e-05,1729901673.583512
13,13,2.0955899035242643e-05,13.358558654785156,12.830958127975464,0.0021332217381236688,1.3577564646833864e-05,7.378334388408778e-06,1729901674.8069787
14,14,9.327767684664006e-06,14.765501976013184,14.237937927246094,0.001464893674906128,7.622610856976458e-06,1.705156827687548e-06,1729901676.213922
15,15,4.1997541408793855e-06,16.211966276168823,15.68432903289795,0.0006867427053604,3.483522395944383e-06,7.162317449350025e-07,1729901677.6603863
16,16,2.48100149862096e-06,17.722729206085205,17.195102214813232,0.0003256859333413346,2.2445111578674367e-06,2.364903407535234e-07,1729901679.1711493
17,17,7.741555801553752e-07,19.741273641586304,19.213422060012817,0.0003171077655935205,6.770568217140989e-07,9.70987584412763e-08,1729901681.1896937
18,18,4.5978344979052364e-07,21.743377685546875,21.215657949447632,0.000287279874549465,3.6805805366119795e-07,9.172539612932571e-08,1729901683.1917977
19,19,4.447854317756101e-07,22.43410849571228,21.90583634376526,0.0002744930549219519,3.2428139123539136e-07,1.2050404054021878e-07,1729901683.8825285
20,20,4.2029600683471575e-07,24.528223991394043,24.00024390220642,0.00027957924134273715,3.0999431150322297e-07,1.1030169533149277e-07,1729901685.976644
21,21,3.864666467819702e-07,25.26496386528015,24.737303256988525,0.0002650502095648938,2.793099030638682e-07,1.0715674371810196e-07,1729901686.713384
22,22,3.1801414822290957e-07,27.598443269729614,27.070837259292603,0.00016018292061281773,2.1711675971042996e-07,1.0089738851247959e-07,1729901689.0468633
23,23,1.7848969515208165e-07,29.13066554069519,28.6030056476593,0.0001646782113351817,1.4082553805242714e-07,3.766415709965451e-08,1729901690.5790856
24,24,1.6137640650913583e-07,30.691765308380127,30.164109706878662,0.0001513588205236859,1.3316429743923453e-07,2.82121090699013e-08,1729901692.1401854
25,25,1.289760287637e-07,33.337228298187256,32.809571504592896,0.0001360334731690464,1.1118166707381547e-07,1.7794361689884516e-08,1729901694.7856483
26,26,1.0457522658945104e-07,34.99804472923279,34.4703483581543,0.0001264185996227237,9.091538050893051e-08,1.3659846080520524e-08,1729901696.4464648
27,27,9.841572782884034e-08,36.30900239944458,35.78139066696167,0.00011876653793415805,8.649429135434071e-08,1.1921436474499625e-08,1729901697.7574224
28,28,9.206938968725836e-08,37.343422412872314,36.81576991081238,0.0001154951562916939,8.129875863458594e-08,1.0770631052672419e-08,1729901698.7918425
29,29,8.952943779091744e-08,43.02026891708374,42.49240446090698,0.00010578003045366393,7.917077934323963e-08,1.0358658447677806e-08,1729901704.468689
30,30,7.797837419822149e-08,44.031378984451294,43.503740549087524,0.00010523690557627565,6.885828726072885e-08,9.12008693749264e-09,1729901705.479799
31,31,7.69699527991652e-08,45.682427644729614,45.15480875968933,0.00010489310769558644,6.791489798568035e-08,9.055054813484849e-09,1729901707.1308477
32,32,7.610816364842138e-08,46.72965097427368,46.2020161151886,0.00010513726784902679,6.707082386426367e-08,9.037339784157704e-09,1729901708.178071
33,33,7.602188556952526e-08,47.841169357299805,47.31347298622131,0.00010464449742742147,6.689793402371125e-08,9.123951545814003e-09,1729901709.2895894
34,34,7.500503584497923e-08,49.67080569267273,49.14318323135376,0.00010460016385503296,6.59002794770525e-08,9.104756367926733e-09,1729901711.1192257
35,35,7.379355652324631e-08,50.7421932220459,50.21457862854004,0.00010376176804514041,6.467464823696638e-08,9.11890828627993e-09,1729901712.1906133
36,36,7.174171134272244e-08,51.81134295463562,51.2836856842041,0.00010367571465220525,6.272142753365095e-08,9.020283809071485e-09,1729901713.259763
37,37,7.061322062026782e-08,54.02897644042969,53.5012891292572,0.00010307744174171529,6.15618984181568e-08,9.051322202111014e-09,1729901715.4773965
