step,_step,loss,_runtime,time,l2_error,loss_interior,loss_boundary,_timestamp
0,0,3.173703907627406,1.9532535076141357,1.2193515300750732,1.0710823078279659,0.00025267566290999985,3.1734512319644956,1729866408.5061815
1,1,1.1727525034030675,2.369506359100342,1.8759026527404785,1.0860006024391826,0.012390422840371661,1.1603620805626957,1729866408.9224343
2,2,1.0103375115832973,2.9319701194763184,2.4382834434509277,0.24217007974561536,0.004194583664706134,1.0061429279185912,1729866409.484898
3,3,0.16623829733204076,3.5918214321136475,3.0967979431152344,0.22583626765434656,0.09952630800097399,0.06671198933106677,1729866410.1447494
4,4,0.12496102710763039,4.277791261672974,3.7840986251831055,0.0621237625368271,0.04996279432986468,0.07499823277776571,1729866410.8307192
5,5,0.007578346877565643,5.286963701248169,4.793236017227173,0.07636198289146541,0.003364876407235378,0.004213470470330265,1729866411.8398917
6,6,0.00476142100024385,6.210354566574097,5.716596841812134,0.02745848215054681,0.0007315439978203057,0.004029877002423544,1729866412.7632825
7,7,0.0012149939951079487,7.213415861129761,6.719627380371094,0.017341805745208307,0.0005382507328954489,0.0006767432622124998,1729866413.7663438
8,8,0.0002951928868072559,8.926847219467163,8.433002710342407,0.01348856149210785,0.0001221521512885661,0.00017304073551868977,1729866415.4797752
9,9,0.00013063164025585992,10.655064821243286,10.161303281784058,0.009770792361675726,3.752440308382428e-05,9.310723717203563e-05,1729866417.2079928
10,10,6.439827867784048e-05,12.878982067108154,12.385209083557129,0.008321568796253532,2.1146991736136132e-05,4.325128694170434e-05,1729866419.43191
11,11,4.921981605271145e-05,15.279761791229248,14.785785913467407,0.00890561049345157,1.7329721180138377e-05,3.1890094872573076e-05,1729866421.8326898
12,12,5.382529937673691e-05,17.614387035369873,17.1206214427948,0.007319757598797158,1.3171509125914032e-05,4.0653790250822874e-05,1729866424.167315
13,13,4.476317941244053e-05,20.606979608535767,20.113229036331177,0.006871283872485423,1.4072945690420537e-05,3.0690233722019995e-05,1729866427.1599076
14,14,4.46038454748924e-05,22.365928173065186,21.872159481048584,0.00706802744712211,1.517373517187382e-05,2.9430110303018578e-05,1729866428.9188561
15,15,4.319424797346366e-05,24.14853048324585,23.654767751693726,0.0066107863163545584,1.63134897116812e-05,2.688075826178246e-05,1729866430.7014585
16,16,3.778812003273275e-05,27.377893686294556,26.883805751800537,0.006332803689895839,1.627501192401599e-05,2.1513108108716754e-05,1729866433.9308217
17,17,3.4513263717895916e-05,30.219024896621704,29.725011110305786,0.006335023247034771,1.5107226983286233e-05,1.940603673460968e-05,1729866436.7719529
18,18,3.282512073941517e-05,32.39178419113159,31.897706747055054,0.006408312576499086,1.1902667492392687e-05,2.0922453247022485e-05,1729866438.9447122
19,19,3.159514025263057e-05,34.13477373123169,33.64096784591675,0.0060987947776458724,1.102784664453847e-05,2.0567293608092105e-05,1729866440.6877017
20,20,3.0242052847048348e-05,35.57239532470703,35.077877044677734,0.006029384870688538,1.2302596006541526e-05,1.7939456840506822e-05,1729866442.1253233
21,21,3.155600420563958e-05,39.84237480163574,39.34831357002258,0.0041102835440469405,1.148271037035505e-05,2.007329383528453e-05,1729866446.3953028
22,22,2.378252089439066e-05,40.86108326911926,40.36726403236389,0.0029629540288777304,1.49296493575862e-05,8.85287153680446e-06,1729866447.4140112
23,23,2.308251894951768e-05,45.1986563205719,44.70489549636841,0.002242619094261375,1.673062588578872e-05,6.351893063728961e-06,1729866451.7515843
24,24,2.314742020255618e-05,46.12767148017883,45.633875131607056,0.002472765462871271,1.853149083582699e-05,4.61592936672919e-06,1729866452.6805995
25,25,2.2330083809497223e-05,47.145636796951294,46.651864528656006,0.002637977051338825,1.648054761586534e-05,5.849536193631881e-06,1729866453.6985648
26,26,2.048159800837514e-05,48.15815281867981,47.664389848709106,0.0026892780528055054,1.4081153340979337e-05,6.400444667395805e-06,1729866454.7110808
27,27,1.9140722442148008e-05,50.505714893341064,50.011895179748535,0.0027626784344161174,1.2517448337796354e-05,6.623274104351654e-06,1729866457.0586429
28,28,1.9010933224467764e-05,51.47505974769592,50.98104691505432,0.0027258286709022843,1.1489793499218777e-05,7.521139725248988e-06,1729866458.0279877
29,29,1.7052952256718237e-05,52.46361994743347,51.96982669830322,0.002619932066424167,9.952444753030634e-06,7.1005075036876025e-06,1729866459.016548
30,30,1.595935529436476e-05,53.620338916778564,53.12653946876526,0.0025431837757665526,8.842981428082143e-06,7.116373866282618e-06,1729866460.173267
31,31,1.5070869868907041e-05,54.59217309951782,54.098421573638916,0.0023691461847110263,8.249381737251732e-06,6.8214881316553105e-06,1729866461.145101
32,32,1.3659128510189761e-05,62.53901171684265,62.045233488082886,0.002296409001041994,7.468915448573671e-06,6.1902130616160906e-06,1729866469.0919397
33,33,1.3038833498706889e-05,63.236650228500366,62.7428834438324,0.0025534201101436683,7.002872863864293e-06,6.035960634842595e-06,1729866469.7895782
34,34,1.2403210610829506e-05,64.16530585289001,63.67150616645813,0.0027538382752461126,5.5624858679957755e-06,6.840724742833731e-06,1729866470.7182338
35,35,1.2148464589482175e-05,64.8712170124054,64.37744283676147,0.002858917449512394,4.39603050292194e-06,7.752434086560235e-06,1729866471.424145
36,36,1.1547437353581326e-05,65.80067539215088,65.30688333511353,0.003075681134684456,3.5621729161646433e-06,7.985264437416682e-06,1729866472.3536034
37,37,1.1117349706442939e-05,66.74866008758545,66.25483870506287,0.003124687621597587,2.8255211618393253e-06,8.291828544603614e-06,1729866473.301588
38,38,9.971256861682245e-06,67.73014283180237,67.23634839057922,0.0032646728539910707,2.1206554280868768e-06,7.850601433595368e-06,1729866474.2830708
39,39,9.866539989389361e-06,68.77099680900574,68.27721452713013,0.0032335177928987787,1.7653400502926324e-06,8.101199939096728e-06,1729866475.3239248
40,40,8.7064930884141e-06,69.75072574615479,69.25695443153381,0.0032767486202724223,1.4493464823031602e-06,7.2571466061109395e-06,1729866476.3036537
42,41,8.442481397231981e-06,78.72505259513855,78.23105788230896,0.0016118807482439898,1.2073166849457329e-06,7.235164712286248e-06,1729866485.2779806
46,42,2.68831437136795e-06,86.65365052223206,86.15978670120239,0.001749406690126902,4.6797466764517506e-07,2.220339703722775e-06,1729866493.2065785
50,43,1.2220064593406912e-06,104.57942461967468,104.08565068244934,0.001297209128806656,7.905655060414478e-07,4.314409532992433e-07,1729866511.1323526
55,44,8.773263101167405e-07,117.37361407279968,116.87977147102356,0.0010157057572643883,1.6306842102616454e-07,7.14257889090576e-07,1729866523.926542
61,45,4.328654475505152e-07,133.66900873184204,133.1749768257141,0.0006214722514485726,1.4514891968580488e-07,2.877165278647103e-07,1729866540.2219367
67,46,2.367422740342621e-07,155.13933396339417,154.64553308486938,0.0004692580202872333,5.48838218595906e-08,1.818584521746715e-07,1729866561.692262
73,47,1.6373086671960866e-07,180.3099241256714,179.81585884094238,0.00038893012814636706,4.453286450405961e-08,1.1919800221554905e-07,1729866586.862852
81,48,1.0569991839415688e-07,211.9594166278839,211.46532893180847,0.00032727124266827254,3.427378840425722e-08,7.142612998989965e-08,1729866618.5123446
89,49,8.666330655332995e-08,233.0909366607666,232.59687757492065,0.00028058997479388047,2.748513900619635e-08,5.91781675471336e-08,1729866639.6438646
98,50,5.3587152158886305e-08,270.04655385017395,269.5525314807892,0.0002022581264608179,2.0417459179504722e-08,3.316969297938158e-08,1729866676.5994818
107,51,3.468515707411101e-08,323.1273069381714,322.6332721710205,0.0001697387681174165,1.508106482359938e-08,1.960409225051163e-08,1729866729.680235
118,52,3.1628451354913785e-08,380.1407542228699,379.6467339992523,0.00016309308424247474,1.2569611092567735e-08,1.9058840262346053e-08,1729866786.6936822
130,53,2.919819020349745e-08,462.02597665786743,461.531934261322,0.00015610714819273256,1.2968452633263312e-08,1.622973757023414e-08,1729866868.5789046
143,54,2.290849285784248e-08,522.0604844093323,521.5664644241333,0.00013782155856300037,1.0346758025246628e-08,1.2561734832595853e-08,1729866928.6134124
157,55,1.942677561843742e-08,619.3740344047546,618.8794758319855,0.00013090941829133255,8.798837153719724e-09,1.0627938464717697e-08,1729867025.9269624
172,56,1.661008510830232e-08,708.1632037162781,707.6691651344299,0.00011875373605567436,7.2716822137313555e-09,9.338402894570966e-09,1729867114.7161317
190,57,1.3531666358826888e-08,827.1984272003174,826.7043523788452,0.00010549688689890056,6.2725745549350995e-09,7.259091803891789e-09,1729867233.7513552
208,58,1.116231494109685e-08,945.7589366436005,945.2649230957031,9.775065047900534e-05,4.625721003502267e-09,6.536593937594583e-09,1729867352.3118646
229,59,8.123564970679555e-09,1100.3446106910706,1099.8505837917328,7.222045904710297e-05,3.986624376889287e-09,4.136940593790268e-09,1729867506.8975387
252,60,6.201875600169397e-09,1263.0975377559662,1262.6035356521606,5.6794715571853594e-05,3.215547747959163e-09,2.986327852210234e-09,1729867669.6504657
277,61,2.993746160695936e-09,1461.8972306251526,1461.4031715393066,3.556482124890584e-05,1.6123880708315936e-09,1.3813580898643424e-09,1729867868.4501586
