step,_step,loss,_runtime,time,l2_error,loss_interior,loss_boundary,_timestamp
0,0,2.842923544649264,3.1588356494903564,2.429004192352295,1.1736001437335468,0.00010162577213131824,2.8428219188771324,1729866536.5876307
1,1,1.4937724527023897,7.720065593719482,7.1944260597229,1.3565648433527535,0.7144101238806397,0.7793623288217499,1729866541.1488607
2,2,1.2623191418940067,10.230248212814331,9.70451545715332,1.3623724946968567,0.08111203357752696,1.1812071083164797,1729866543.6590433
3,3,1.2252712144372038,12.658807277679443,12.131959438323975,1.332752802835189,0.012388532659217993,1.2128826817779859,1729866546.0876024
4,4,1.1161623778704624,15.265182733535767,14.739651918411255,0.6644004042614036,0.002189192720722459,1.1139731851497399,1729866548.6939778
5,5,0.33758009725186705,20.17065978050232,19.64487314224243,0.2613997372097134,0.04092546921389809,0.29665462803796894,1729866553.5994549
6,6,0.042127606269318316,25.418781042099,24.89324975013733,0.03448024445301691,0.002003495454838173,0.04012411081448014,1729866558.8475761
7,7,0.0019281740378397304,30.92518162727356,30.39939856529236,0.01634303556139311,0.0008213852691950117,0.0011067887686447189,1729866564.3539767
8,8,0.000518048354588264,42.71051335334778,42.18477654457092,0.011432459759282844,0.00029034908233321156,0.00022769927225505248,1729866576.1393085
9,9,0.00036099637678826247,50.77805137634277,50.252450704574585,0.01947175680456369,0.0002620088483940414,9.898752839422103e-05,1729866584.2068465
10,10,0.0002690765337044603,59.033475399017334,58.50775694847107,0.014682004806644527,0.00014687360575242476,0.00012220292795203552,1729866592.4622705
11,11,0.0001718921007067323,77.12217998504639,76.59651303291321,0.00927395598484339,0.00010827784931232997,6.361425139440233e-05,1729866610.550975
12,12,7.358038307630124e-05,85.05846881866455,84.53274631500244,0.008624026196192949,3.466795858498129e-05,3.891242449131996e-05,1729866618.487264
13,13,7.839833457237832e-05,90.27923631668091,89.7537169456482,0.005547247409818523,3.313246006528569e-05,4.526587450709263e-05,1729866623.7080314
14,14,6.628512288027352e-05,102.10675120353699,101.58100962638855,0.0068035917718200604,4.336493535941464e-05,2.2920187520858878e-05,1729866635.5355463
15,15,5.8917418023150524e-05,110.54930758476257,110.0237410068512,0.003232822137835184,2.7880049410826786e-05,3.103736861232374e-05,1729866643.9781027
16,16,4.536012417163581e-05,119.02576303482056,118.50022315979004,0.00210190841618908,3.5489959582092055e-05,9.870164589543758e-06,1729866652.4545581
17,17,4.136556598949709e-05,127.9225525856018,127.39697337150574,0.0037792138327193813,3.744324034688667e-05,3.922325642610424e-06,1729866661.3513477
18,18,3.807080969386149e-05,135.86699414253235,135.34121799468994,0.0033190271308198107,3.3397396457651985e-05,4.6734132362095095e-06,1729866669.2957892
19,19,2.075244418807845e-05,161.3238663673401,160.79826378822327,0.0020743655354301116,1.700724148641284e-05,3.7452027016656096e-06,1729866694.7526615
20,20,1.478133421733319e-05,166.74609684944153,166.22037553787231,0.003417992488211701,1.0235925055254036e-05,4.545409162079154e-06,1729866700.174892
21,21,1.223569864034984e-05,186.17534852027893,185.649747133255,0.0017965665050262338,4.729978601513794e-06,7.505720038836046e-06,1729866719.6041436
22,22,6.900454641494658e-06,194.36659145355225,193.84103512763977,0.002203436179397024,4.299318009207653e-06,2.6011366322870055e-06,1729866727.7953866
23,23,5.53305768650253e-06,217.96943545341492,217.44370698928833,0.0014002805385010212,2.217860600998811e-06,3.3151970855037194e-06,1729866751.3982306
24,24,4.800476339911682e-06,226.78678226470947,226.26122379302979,0.001528893403728217,3.6913153153902746e-06,1.1091610245214074e-06,1729866760.2155774
25,25,4.011585220096916e-06,232.3284935951233,231.80294036865234,0.0015011772183183068,2.8469687364254237e-06,1.1646164836714924e-06,1729866765.7572887
26,26,3.4290029991458583e-06,257.64216136932373,257.1163983345032,0.0016746397511290577,2.2272629189808144e-06,1.2017400801650441e-06,1729866791.0709565
27,27,2.832337376420927e-06,263.3608913421631,262.83534693717957,0.0007843230381594661,1.1723692262542488e-06,1.6599681501666786e-06,1729866796.7896864
28,28,2.2785862186618278e-06,268.9741530418396,268.4486553668976,0.0006217192463424357,1.555568444333285e-06,7.230177743285426e-07,1729866802.4029481
29,29,1.9841351394007333e-06,294.3803479671478,293.8547167778015,0.0008733769315637062,1.5519266114937382e-06,4.322085279069952e-07,1729866827.809143
30,30,1.69650998323185e-06,299.9629547595978,299.4372591972351,0.0010387394510302864,8.989670019681217e-07,7.975429812637283e-07,1729866833.3917499
31,31,1.6323928744482075e-06,318.36088013648987,317.83529019355774,0.000701927923013843,6.594942601911469e-07,9.728986142570606e-07,1729866851.7896752
32,32,1.5067114809331595e-06,328.55984902381897,328.0343189239502,0.0005969682337151805,8.522830084952241e-07,6.544284724379354e-07,1729866861.9886441
33,33,1.3743685447725167e-06,349.66132736206055,349.13575410842896,0.0007368050447878291,8.753038030689872e-07,4.990647417035296e-07,1729866883.0901225
34,34,1.207287473540421e-06,368.39872574806213,367.8729441165924,0.0004707764744414581,6.188298142764116e-07,5.884576592640095e-07,1729866901.8275208
35,35,8.082175723416664e-07,393.81288480758667,393.2873725891113,0.00045104121964549315,5.392567097351854e-07,2.6896086260648093e-07,1729866927.24168
36,36,4.201577145717152e-07,419.2055838108063,418.6797709465027,0.0006316144389924168,2.665416166889269e-07,1.5361609788278835e-07,1729866952.634379
37,37,3.5628850301608345e-07,437.92996311187744,437.4044244289398,0.00048409736628887267,1.4004875255663433e-07,2.162397504594491e-07,1729866971.3587582
38,38,2.6413816552044727e-07,463.2583472728729,462.7327332496643,0.0004033973362687169,1.0139199350496016e-07,1.627461720154871e-07,1729866996.6871424
39,39,1.8070426585643743e-07,488.4989342689514,487.97314286231995,0.000359572353208013,7.429515636900477e-08,1.0640910948743265e-07,1729867021.9277294
40,40,1.391434505770141e-07,513.92236495018,513.3968019485474,0.00024854624748859406,6.93315996825914e-08,6.98118508944227e-08,1729867047.35116
42,41,1.1213055802115516e-07,565.0031101703644,564.4773306846619,0.0002048815258082817,9.320227764741885e-08,1.8928280373736313e-08,1729867098.4319053
46,42,4.347317659448787e-08,666.9283273220062,666.4025585651398,0.00013563530163048917,2.6733360837403212e-08,1.6739815757084656e-08,1729867200.3571224
50,43,4.351249485896231e-08,768.708461523056,768.182624578476,0.00018378678004614448,2.3049614735045283e-08,2.0462880123917033e-08,1729867302.1372566
55,44,1.9559540915566277e-08,895.7740092277527,895.2482149600983,0.00010326553669025084,1.2580566464638288e-08,6.978974450927989e-09,1729867429.2028043
61,45,1.1980366880363505e-08,1047.7274074554443,1047.2016458511353,7.288855534394265e-05,6.424981903985012e-09,5.555384976378494e-09,1729867581.1562026
67,46,8.508098691115075e-09,1199.8198795318604,1199.2940428256989,5.88386926383647e-05,5.4633665372144596e-09,3.0447321539006152e-09,1729867733.2486746
73,47,7.160183407486806e-09,1352.1729567050934,1351.6471331119537,7.390120673623895e-05,3.133264181078061e-09,4.0269192264087446e-09,1729867885.6017518
81,48,4.1557599495962595e-09,1555.7353951931,1555.2096486091614,4.382453734516724e-05,2.512600021759471e-09,1.6431599278367883e-09,1729868089.1641903
89,49,3.34593926889669e-09,1758.4232242107391,1757.8974101543427,3.4764446091554715e-05,1.889067087568133e-09,1.4568721813285573e-09,1729868291.8520193
98,50,2.5820127820062536e-09,1987.215839624405,1986.6900005340576,3.6314475508875756e-05,1.5307371507998234e-09,1.0512756312064302e-09,1729868520.6446347
107,51,1.957808765024438e-09,2215.8234734535217,2215.2976541519165,3.061900048884382e-05,1.2372387831596106e-09,7.205699818648271e-10,1729868749.2522686
118,52,1.4776097260361229e-09,2495.2950477600098,2494.7692258358,2.5426788368299818e-05,9.153730417991033e-10,5.622366842370195e-10,1729869028.7238429
130,53,1.2792583011533237e-09,2800.302452802658,2799.776640176773,2.2857773444388266e-05,8.035177581809734e-10,4.757405429723504e-10,1729869333.731248
138,54,1.2586247653082985e-09,3003.449006319046,3002.923173189163,1.9711776664555637e-05,7.73757953892072e-10,4.848668114162263e-10,1729869536.8778014
