loss,_runtime,_timestamp,time,loss_boundary,loss_interior,step,_step,l2_error
0.5327946996944553,7.665891408920288,1716072172.4137104,2.9085443019866943,0.5323765042420849,0.0004181954523702859,0,0,0.22408576727371132
0.04010748405278467,10.770427703857422,1716072175.5182467,6.718633651733398,0.032233173287604715,0.007874310765179958,1,1,0.19004863893865273
0.025000863776419784,14.58575439453125,1716072179.3335733,10.533767223358154,0.022678882679173475,0.0023219810972463085,2,2,0.13722501496118422
0.014148954786934074,19.13280749320984,1716072183.8806264,15.080949783325195,0.012883335264300785,0.0012656195226332884,3,3,0.12633977299328772
0.012256165282852984,23.908551692962646,1716072188.6563706,19.856712341308594,0.010882643303274049,0.001373521979578935,4,4,0.12146748434163664
0.011691654188001697,29.150949001312256,1716072193.898768,25.097444534301758,0.009615473208715673,0.0020761809792860233,5,5,0.11328705489358978
0.011547782097440718,34.35836720466614,1716072199.1061862,30.30531334877014,0.008149598712358569,0.0033981833850821493,6,6,0.10637710478417632
0.009873683591751635,40.92910861968994,1716072205.6769276,36.875850677490234,0.0066284603550766505,0.003245223236674985,7,7,0.04314209765286747
0.0023246389195482027,50.04847431182861,1716072214.7962933,45.99506378173828,0.0011723534500915668,0.001152285469456636,8,8,0.016925026079494473
0.00040895623748691537,59.16759991645813,1716072223.9154189,55.114506006240845,0.00016702735633125436,0.00024192888115566103,9,9,0.010991179523147923
0.0001492399852524685,68.29801940917969,1716072233.0458384,64.24453353881836,6.754615305871625e-05,8.169383219375224e-05,10,10,0.006859108312605724
6.90312182232164e-05,79.75882816314697,1716072244.506647,75.70560765266418,2.8154838825857426e-05,4.087637939735898e-05,11,11,0.004579639196960506
3.675191811888258e-05,90.67338371276855,1716072255.4212027,86.61982226371765,1.342417676263545e-05,2.3327741356247125e-05,12,12,0.005497277159076837
3.236559901643344e-05,100.35087370872498,1716072265.0986927,96.2975389957428,1.6850619360583596e-05,1.5514979655849844e-05,13,13,0.0061832123298136855
3.0852039045135596e-05,110.00016951560974,1716072274.7479885,105.94705438613892,2.0181928417380327e-05,1.0670110627755272e-05,14,14,0.005188439287202688
2.2052776655599362e-05,120.09520220756531,1716072284.8430212,116.04166030883789,1.4208898174875476e-05,7.843878480723887e-06,15,15,0.005419366455295127
2.0784865780130195e-05,127.71400308609009,1716072292.461822,123.66069436073303,1.5150226607136861e-05,5.6346391729933355e-06,16,16,0.004101785734503559
1.2788425690639909e-05,142.3392035961151,1716072307.0870225,138.28591322898865,8.770572316390545e-06,4.017853374249364e-06,17,17,0.004036402070946152
1.1410665811076441e-05,150.09250712394714,1716072314.840326,146.03914713859558,8.390035619662743e-06,3.0206301914136984e-06,18,18,0.0034953541354585432
8.355288273396765e-06,165.66138768196106,1716072330.4092066,161.60783791542053,6.288067828754174e-06,2.067220444642591e-06,19,19,0.00308151047389977
6.20285160136402e-06,175.9154064655304,1716072340.6632254,171.86204385757446,4.879301480684173e-06,1.3235501206798465e-06,20,20,0.002590905518507417
4.400989284390266e-06,199.9767029285431,1716072364.7245219,195.92309951782227,3.4612581392406604e-06,9.397311451496052e-07,21,21,0.0020263160363275926
3.0371416550183308e-06,210.37817573547363,1716072375.1259947,206.32495284080505,2.1625412412673677e-06,8.74600413750963e-07,22,22,0.001784644889366074
2.518364945085257e-06,226.7803773880005,1716072391.5281963,222.72703409194946,1.681071503383796e-06,8.372934417014606e-07,23,23,0.001654736863216298
2.232657021240564e-06,233.2396297454834,1716072397.9874487,229.18631291389465,1.4416965371301463e-06,7.909604841104172e-07,24,24,0.0014987913528066521
2.0311928401159584e-06,249.3845603466034,1716072414.1323793,245.33092713356018,1.1740287610818021e-06,8.571640790341561e-07,25,25,0.0015325369924215056
1.974645232630594e-06,260.3007643222809,1716072425.0485833,256.2474672794342,1.2129639964346667e-06,7.61681236195927e-07,26,26,0.0012640886117133393
1.487523493878026e-06,270.3968687057495,1716072435.1446877,266.34355330467224,8.146784962731155e-07,6.728449976049105e-07,27,27,0.0011109496866326676
1.118645278146845e-06,337.0445954799652,1716072501.7924144,332.99095487594604,6.277025899915693e-07,4.909426881552755e-07,28,28,0.0009398397110547559
7.215533491842592e-07,346.79036116600037,1716072511.53818,342.73666429519653,4.745800347264876e-07,2.4697331445777165e-07,29,29,0.0008855785440585078
6.558184105452748e-07,413.4127552509308,1716072578.1605742,409.35907888412476,4.3103607181989996e-07,2.2478233872537484e-07,30,30,0.0005682584344332441
4.1160888927200797e-07,424.0327088832855,1716072588.7805278,419.97936058044434,1.7904857126885573e-07,2.3256031800315223e-07,31,31,0.0005380869660753603
3.556226315565853e-07,490.72666120529175,1716072655.4744802,486.67306637763977,1.5689505185198351e-07,1.9872757970460183e-07,32,32,0.0006851987957970396
3.351727755024942e-07,500.31535959243774,1716072665.0631785,496.2619616985321,2.5534925323912985e-07,7.982352226336434e-08,33,33,0.0006370264659748759
2.6782491900099577e-07,567.0163114070892,1716072731.7641304,562.9625613689423,2.1855185597213994e-07,4.92730630288558e-08,34,34,0.0004583788173663126
1.6929698598711174e-07,577.1243002414703,1716072741.8721192,573.0709648132324,1.2389651117067406e-07,4.5400474816437695e-08,35,35,0.0004508472373786253
1.3950440190182444e-07,643.8329248428345,1716072808.5807438,639.7793080806732,1.115262980833523e-07,2.797810381847213e-08,36,36,0.0004584224111195411
1.298533314610245e-07,649.7343173027039,1716072814.4821362,645.6810035705566,1.0986183859612875e-07,1.9991492864895735e-08,37,37,0.0004059558162417473
1.0364610677496651e-07,716.4316263198853,1716072881.1794453,712.3779671192169,8.321848640250617e-08,2.042762037246035e-08,38,38,0.00030674023988455597
7.837602495519063e-08,723.0130372047424,1716072887.7608562,718.9595973491669,4.795738861792262e-08,3.041863633726802e-08,39,39,0.00027610028029245205
7.250427391515217e-08,789.6396453380585,1716072954.3874643,785.5858972072601,3.8856018808157344e-08,3.364825510699483e-08,40,40,0.0002920038367134955
4.9694728459710776e-08,862.5479233264923,1716073027.2957423,858.4943418502808,3.329101587345879e-08,1.6403712586251984e-08,42,41,0.00023645535151834836
2.8213422851606672e-08,949.9415583610535,1716073114.6893773,945.8879821300507,2.152299611522319e-08,6.690426736383481e-09,46,42,0.00021209207319208964
2.377231130194124e-08,986.9510207176208,1716073151.6988397,982.8974373340607,1.8248840128507066e-08,5.523471173434173e-09,50,43,0.0001979412109164054
1.707136317665825e-08,1076.1053020954132,1716073240.853121,1072.0517084598541,1.3054622929652561e-08,4.01674024700569e-09,55,44,0.00017168491817803446
