step,_step,loss,_runtime,time,l2_error,loss_interior,loss_boundary,_timestamp
0,0,0.4749048235987601,52.805235385894775,46.48307657241821,0.41445588571548747,0.0005850887377977406,0.47431973486096235,1716018004.3336804
1,1,0.12710925894848824,97.81044006347656,92.53140139579773,0.20369511348751687,0.041725510428656125,0.08538374851983212,1716018049.338885
2,2,0.046685934855264455,142.8044764995575,137.52506375312805,0.13446099766930142,0.026630221813195867,0.020055713042068588,1716018094.3329215
3,3,0.011632955045371738,187.83991360664368,182.56052899360657,0.1266638046496505,0.003650411948427604,0.007982543096944135,1716018139.3683586
4,4,0.007636463282109682,232.98912000656128,227.70975589752197,0.1250269865674134,0.0010455124079792766,0.006590950874130406,1716018184.517565
5,5,0.006487168196777185,278.2475459575653,272.9681248664856,0.12307951056915246,0.0004934426816492342,0.00599372551512795,1716018229.775991
6,6,0.005731323131346924,323.6201910972595,318.3408989906311,0.11244800775131307,0.0003736630692347085,0.005357660062112215,1716018275.148636
7,7,0.004246071656171328,369.1018190383911,363.82120990753174,0.09137684867858296,0.0004391648482620683,0.0038069068079092595,1716018320.630264
8,8,0.0029662962107849656,414.69603085517883,409.4162805080414,0.07688587218489197,0.0006504192899713974,0.0023158769208135683,1716018366.2244759
9,9,0.0024215127968729372,460.39972949028015,455.1205379962921,0.0684096781650015,0.0007342130080363868,0.0016872997888365505,1716018411.9281745
10,10,0.002096818819066768,506.2071576118469,500.92778182029724,0.06196552182890609,0.0007045904608156677,0.0013922283582511,1716018457.7356026
11,11,0.0017302528013495473,552.0364644527435,546.7569441795349,0.05776258714930499,0.0005677893263016633,0.001162463475047884,1716018503.5649095
12,12,0.001359260422291841,597.8687751293182,592.5891070365906,0.05638695156531904,0.0003948642141895411,0.0009643962081023,1716018549.3972201
13,13,0.001165398959986471,643.7010958194733,638.4213869571686,0.0560206814794007,0.000303457771694896,0.000861941188291575,1716018595.2295408
14,14,0.0010566468084494895,689.5400533676147,684.2602295875549,0.05579522921541933,0.0002499173840455896,0.0008067294244038999,1716018641.0684984
15,15,0.0009778182336249203,735.3705351352692,730.0906367301941,0.05520136357091274,0.0002123249567325032,0.0007654932768924171,1716018686.8989801
16,16,0.0009039892070303907,781.2587058544159,775.9787728786469,0.054315469063686984,0.00018545125619699602,0.0007185379508333947,1716018732.7871509
17,17,0.0008356114276535964,827.1746518611908,821.8947422504425,0.05354352614791383,0.00016910077529040665,0.0006665106523631898,1716018778.7030969
18,18,0.0007775390490420936,873.0909271240234,867.8110013008118,0.053082242456275644,0.00015939202429924096,0.0006181470247428526,1716018824.6193721
19,19,0.0006988011276238247,919.0094747543335,913.7293000221252,0.05307497196871955,0.0001494233763854288,0.0005493777512383959,1716018870.5379198
20,20,0.0006037551835864088,964.9238927364349,959.6436223983765,0.05331323839543045,0.00014149787042761912,0.00046225731315878963,1716018916.4523377
21,21,0.0005300673104131212,1010.8408787250519,1005.5605916976929,0.05352756835762532,0.0001423413773024188,0.0003877259331107023,1716018962.3693237
